ticker,sector_group,potential_score,valuation_score,quality_score,growth_score,sentiment_score,fwd_return,fwd_return_net,decile,regime_label
OABI,healthcare,41.89,26.86,61.42,,36.84,-0.44246353322528365,-0.45246353322528365,4,R3
OCUL,healthcare,63.3,64.0,68.0,56.72,62.25,0.8408071748878925,0.8308071748878925,9,R3
ODFL,industrials,55.47,14.9,77.3,63.82,76.6,-0.12499999999999989,-0.1289999999999999,8,R3
ODP,consumer_disc,42.08,64.35,31.83,24.59,40.79,-0.6037300177619893,-0.6137300177619893,4,R3
OFIX,healthcare,30.77,0.0,44.8,77.36,10.66,0.26112759643916905,0.25112759643916904,2,R3
OGE,utilities,39.8,20.55,51.46,,51.92,0.20495710200190675,0.19495710200190675,3,R3
OGN,healthcare,54.58,96.42,75.53,13.77,4.1,0.16742424242424248,0.15742424242424247,7,R3
OGS,utilities,39.67,62.17,29.17,,21.15,0.10927378111148989,0.09927378111148989,3,R3
OHI,reits,46.79,44.66,50.36,3.96,87.14,0.3007401636151148,0.2907401636151148,5,R3
OKTA,tech_software,54.93,19.53,61.61,87.16,65.98,-0.06804374240583233,-0.07204374240583233,7,R3
OLMA,healthcare,39.17,14.42,,,75.59,-0.6407697790449037,-0.6507697790449037,3,R3
OLN,industrials,63.35,82.36,82.95,40.01,31.11,-0.4157148483654982,-0.4257148483654982,9,R3
OLO,tech_software,28.82,0.0,35.53,70.64,20.68,0.2674825174825175,0.2574825174825175,2,R3
OLPX,consumer_disc,40.69,53.63,70.3,15.57,5.26,-0.3858267716535433,-0.3958267716535433,4,R3
OMCL,tech_software,28.53,48.47,36.31,11.01,5.64,0.12357161838958275,0.11357161838958275,2,R3
ON,tech_hardware,62.79,60.8,71.5,69.53,46.97,-0.3542439841972944,-0.3582439841972944,9,R3
ONEW,consumer_disc,43.1,51.25,42.32,,32.2,-0.5546019532406037,-0.5646019532406037,4,R3
ONL,reits,44.56,68.4,50.36,,1.43,-0.25813008130081305,-0.26813008130081306,4,R3
ONTF,tech_software,25.19,24.83,26.57,3.21,45.49,-0.20939086294416243,-0.21939086294416243,1,R3
OPCH,healthcare,48.55,33.86,46.64,74.88,46.88,-0.2879192638765212,-0.29791926387652123,6,R3
OPK,healthcare,23.52,0.0,17.67,1.77,87.7,-0.026490066225165587,-0.03649006622516559,1,R3
ORC,reits,59.57,100.0,50.36,,12.86,0.09506398537477168,0.08506398537477168,9,R3
ORCL,tech_software,50.76,55.91,62.03,33.49,44.55,0.4872645652386065,0.4832645652386065,6,R3
ORGO,healthcare,57.87,100.0,34.0,36.57,50.06,-0.26405867970660146,-0.27405867970660147,8,R3
ORIC,healthcare,36.95,15.93,51.38,,47.85,-0.13478260869565206,-0.14478260869565207,3,R3
ORLY,consumer_disc,59.42,30.16,88.65,56.77,64.47,0.26049889485317324,0.25649889485317323,9,R3
ORTX,healthcare,51.11,46.0,24.0,94.78,53.28,0.015197568389057725,0.005197568389057725,6,R3
OSG,energy,75.63,88.53,46.57,76.74,95.95,0.6264367816091956,0.6164367816091956,10,R3
OSIS,tech_hardware,55.71,44.73,56.92,42.61,83.08,0.18829910887252987,0.17829910887252987,8,R3
OSK,industrials,25.71,5.8,48.26,3.57,45.45,-0.160042141557322,-0.170042141557322,1,R3
OSPN,tech_software,14.21,0.0,25.22,19.27,14.85,0.7046783625730992,0.6946783625730992,1,R3
OSUR,healthcare,73.4,94.0,27.65,86.0,94.26,-0.5585365853658536,-0.5685365853658536,10,R3
OSW,consumer_disc,52.43,26.34,32.77,92.86,78.33,0.3364553314121037,0.3264553314121037,7,R3
OTEX,tech_software,62.67,72.83,63.88,48.17,60.34,-0.32449819866186314,-0.32849819866186314,9,R3
OTIS,industrials,42.92,10.51,92.0,18.98,46.0,0.030774590639879307,0.026774590639879307,4,R3
OTTR,utilities,60.33,62.93,47.92,39.53,94.23,-0.12349360168965084,-0.13349360168965085,9,R3
OUT,reits,53.28,83.5,50.36,55.45,10.71,0.3262815296989423,0.3162815296989423,7,R3
OVV,energy,56.29,75.9,52.58,35.5,53.06,0.02060106640814352,0.01660106640814352,8,R3
OWL,non_bank_financial,35.94,35.0,8.83,,75.0,0.5679287305122493,0.5579287305122493,3,R3
OXM,consumer_disc,78.7,80.65,85.96,100.0,44.74,-0.11512491559756921,-0.12512491559756922,10,R3
PAA,energy,60.73,74.25,50.96,47.37,67.57,0.34246575342465757,0.33846575342465757,9,R3
PACB,healthcare,33.24,0.0,13.61,73.58,69.67,-0.7859327217125383,-0.7959327217125383,2,R3
PAG,consumer_disc,64.46,58.33,64.1,67.31,71.19,-0.033255736614566045,-0.03725573661456605,9,R3
PAGP,energy,52.74,46.71,52.96,49.12,64.86,0.3467070401211203,0.3427070401211203,7,R3
PAHC,healthcare,45.8,71.33,40.32,45.44,16.22,0.7786811201445349,0.7686811201445349,5,R3
PANL,industrials,64.73,72.51,58.87,38.57,87.23,-0.3031123139377536,-0.31311231393775363,9,R3
PANW,tech_software,67.65,35.79,84.96,77.06,81.2,0.17620727075420506,0.17220727075420506,10,R3
PARA,consumer_disc,64.1,95.75,54.23,,31.25,-0.27797081306462823,-0.28797081306462824,9,R3
PATH,tech_software,53.79,14.52,61.54,63.76,90.98,-0.4778582930756844,-0.4818582930756844,7,R3
