ticker,sector_group,potential_score,valuation_score,quality_score,growth_score,sentiment_score,fwd_return,fwd_return_net,decile,regime_label
A,healthcare,54.32,38.88,68.37,40.78,73.77,-0.11769135971518552,-0.12438310115659237,8,R3
AAON,industrials,46.81,7.32,54.05,85.26,65.71,0.4380682966255809,0.4163339564105258,6,R3
AAP,consumer_disc,27.78,58.58,36.99,3.95,28.4,-0.5765917056074766,-0.5900073382681534,2,R3
AAPL,tech_hardware,60.95,43.57,89.6,83.64,44.26,0.4410039878020173,0.43661670276733605,10,R3
AAT,reits,34.82,25.24,50.38,51.04,47.37,-0.04665127020785209,-0.07122617446156013,4,R3
AAWW,industrials,61.18,80.41,63.16,37.84,77.27,0.01666666666666683,-0.0017275845913517773,10,R3
ABBV,healthcare,54.86,55.08,71.11,48.0,72.22,0.06161303920191097,0.05653970711648648,8,R3
ABCL,healthcare,51.98,64.72,60.87,69.47,51.95,-0.44422507403751244,-0.47422507403751246,8,R3
ABG,consumer_disc,67.72,51.63,43.11,91.11,87.72,0.1740027894002789,0.1533711608821124,10,R3
ABM,industrials,54.6,52.98,33.54,69.23,84.31,-0.011898980087421074,-0.03415723408795725,8,R3
ABMD,healthcare,63.78,23.24,90.11,,84.43,0.0,-0.0071820389899336316,10,R3
ABNB,consumer_disc,36.64,15.15,34.26,65.31,32.73,0.6346198830409355,0.6273651796295979,4,R3
ABR,reits,73.24,93.2,50.38,100.0,62.41,0.29806598407281015,0.27765267494495294,10,R3
ABT,healthcare,50.82,73.29,68.38,35.92,50.0,0.06281137051870656,0.057332496192634495,7,R3
ABUS,healthcare,50.17,29.59,36.91,84.73,45.18,0.03862660944205998,0.00862660944205998,7,R3
ACA,industrials,47.65,54.67,55.05,25.0,82.69,0.4548997772828507,0.4296111052298944,7,R3
ACAD,healthcare,36.86,24.73,86.96,36.64,48.04,0.8404522613065326,0.8104522613065326,4,R3
ACC,reits,42.34,6.8,50.38,,96.24,-0.3,-0.31287336466124543,5,R3
ACCD,tech_software,40.2,21.97,24.23,86.54,25.0,0.9281129653401796,0.8981129653401796,5,R3
ACCO,industrials,34.1,95.2,28.93,28.42,22.86,0.19599109131403125,0.16599109131403125,3,R3
ACET,healthcare,44.68,24.13,55.54,46.56,72.2,-0.6252796420581654,-0.6552796420581655,6,R3
ACHC,healthcare,61.23,39.29,65.15,41.67,100.0,0.017492711370262537,0.0010351126367486169,10,R3
ACHR,industrials,1.21,0.0,21.88,,12.5,1.8770053475935828,1.8470053475935828,1,R3
ACIW,tech_software,26.12,80.42,34.07,9.62,39.15,0.3221739130434782,0.30245884260045564,2,R3
ACLS,tech_hardware,64.59,51.74,55.21,75.0,91.13,0.46270161290322576,0.4376233839139006,10,R3
ACLX,healthcare,12.64,4.9,35.15,,21.36,0.7801807617817946,0.7501807617817946,1,R3
ACM,industrials,37.66,28.57,36.18,14.58,76.92,0.06361199122593231,0.05466488302685471,4,R3
ACMR,tech_hardware,29.55,33.96,39.88,88.46,4.03,1.7431906614785992,1.7131906614785992,3,R3
ACRS,healthcare,46.98,0.0,4.68,98.06,87.7,-0.9365079365079365,-0.9665079365079365,6,R3
ACVA,consumer_disc,21.17,22.73,10.64,82.22,7.02,0.7673568818514005,0.7373568818514005,2,R3
ADBE,tech_software,50.22,58.84,95.18,39.42,44.96,0.7562475856535822,0.7506085387175078,7,R3
ADI,tech_hardware,64.36,37.52,63.93,78.85,71.77,0.1702758442897656,0.1643767971148565,10,R3
ADM,consumer_staples,66.58,71.51,27.2,81.4,98.08,-0.23585695490969982,-0.24241274120139783,10,R3
ADMA,healthcare,48.64,61.7,4.35,80.92,52.27,0.27835051546391765,0.24835051546391765,7,R3
ADMS,healthcare,25.83,0.0,58.33,,51.39,-0.3,-0.32999999999999996,2,R3
ADNT,consumer_disc,26.31,37.15,27.74,13.33,52.63,-0.019313923320841586,-0.045203308791875285,2,R3
ADP,industrials,54.5,30.0,88.48,25.64,76.47,0.007484894940932518,0.0017848187068618812,8,R3
ADPT,healthcare,43.18,28.88,20.65,67.94,53.67,-0.3717277486910995,-0.4017277486910995,5,R3
ADSK,tech_software,52.89,31.68,92.7,34.62,68.8,0.2780007491839245,0.27085284955786204,8,R3
ADT,tech_hardware,35.3,21.35,47.09,3.64,88.52,-0.2650602409638555,-0.2872587251546251,4,R3
ADUS,healthcare,43.44,12.26,57.47,37.5,90.0,-0.1092572117800783,-0.13690596464762925,6,R3
AEE,utilities,45.55,47.3,26.09,78.57,44.9,-0.14406568798208508,-0.1508581637554986,6,R3
