ticker,sector_group,potential_score,valuation_score,quality_score,growth_score,sentiment_score,fwd_return,fwd_return_net,decile,regime_label
RXDX,healthcare,0.0,7.05,24.83,,2.46,1.7943854324734447,1.7643854324734447,1,R2
RXRX,healthcare,44.36,13.04,41.18,,71.21,-0.5452422650321074,-0.5752422650321074,6,R2
RYAM,industrials,34.67,90.24,44.07,38.71,6.38,0.06304728546409821,0.033047285464098214,4,R2
RYI,industrials,66.3,84.09,25.8,95.83,91.58,0.2709842351938645,0.2409842351938645,10,R2
RYTM,healthcare,30.79,20.56,35.52,,48.52,2.240480961923848,2.210480961923848,3,R2
SABR,industrials,25.44,0.0,10.06,100.0,8.33,-0.19208381839348077,-0.21357741260052512,2,R2
SAFE,reits,39.16,34.38,50.38,76.09,19.7,-0.6116898148148149,-0.6377529295932153,5,R2
SAFM,consumer_staples,78.63,95.51,45.19,91.67,96.0,0.07266799873803764,0.05644681291555074,10,R2
SAGE,healthcare,39.05,91.4,99.44,29.66,38.71,-0.04207804419369998,-0.06710167133609933,5,R2
SAH,consumer_disc,35.97,39.52,28.17,,56.14,0.03311111111111109,0.006713835012944473,4,R2
SAIA,industrials,51.3,10.76,60.64,65.52,81.4,-0.31124825683173596,-0.32651498800362283,8,R2
SAIC,tech_software,31.84,93.5,23.38,17.9,47.73,0.28418640183346056,0.26698740918210634,3,R2
SANA,healthcare,49.53,9.56,47.01,,78.41,-0.7467700258397933,-0.7767700258397934,7,R2
SAND,industrials,24.14,50.0,27.56,,20.97,-0.06375838926174493,-0.09212068487165351,2,R2
SANM,tech_hardware,43.32,94.15,44.14,1.92,55.56,0.4182344428364688,0.39727917171201227,6,R2
SATS,tech_hardware,60.24,77.58,82.12,56.52,59.38,-0.37381404174573063,-0.4001419367709665,9,R2
SAVA,healthcare,64.82,5.15,72.06,,91.86,-0.28512585812356983,-0.31191439181599784,10,R2
SB,industrials,50.71,12.12,77.41,,97.67,-0.16612377850162863,-0.19612377850162863,7,R2
SBAC,industrials,51.37,16.44,78.36,58.82,61.29,-0.2378747795414462,-0.24421304601757432,8,R2
SBH,consumer_disc,41.38,78.19,55.59,13.79,60.47,-0.20964247020585058,-0.2349425466604747,5,R2
SBRA,reits,28.05,55.38,50.38,11.96,3.03,0.022916666666666696,0.002824128213562236,3,R2
SBUX,consumer_disc,57.2,29.71,76.96,62.5,61.29,-0.07230171515208939,-0.0775094588503335,9,R2
SCCO,industrials,42.35,49.87,72.39,26.32,40.32,0.23892022562449644,0.22780426687297312,5,R2
SCI,consumer_staples,61.34,58.17,73.33,50.0,68.97,0.013586956521739246,0.005151883171177521,9,R2
SCL,industrials,38.27,48.16,50.59,64.52,25.53,-0.1093722525057148,-0.13238203201119136,5,R2
SCPL,tech_software,28.07,95.37,70.4,5.56,47.28,0.1444121915820029,0.11441219158200291,3,R2
SCS,industrials,18.41,24.84,12.39,61.11,9.47,-0.3147964250248262,-0.34410233116842,1,R2
SCSC,tech_hardware,33.9,47.53,15.99,53.85,53.97,-0.12029646522234894,-0.15029646522234894,4,R2
SCU,non_bank_financial,45.83,61.09,39.44,,65.71,-0.5681030212976721,-0.5981030212976721,6,R2
SCVL,consumer_disc,70.36,85.72,65.75,82.76,82.56,-0.3536824418930272,-0.38368244189302725,10,R2
SCWX,tech_software,12.91,23.56,37.97,3.7,49.02,-0.5942391984971822,-0.6242391984971822,1,R2
SD,energy,60.58,43.24,74.44,,97.56,0.5989232839838494,0.5689232839838494,9,R2
SDGR,tech_software,4.68,8.38,22.18,,6.4,-0.4188917599770313,-0.44352787281901357,1,R2
SE,tech_software,28.99,2.53,17.66,,53.67,-0.7576773501408073,-0.7636173700494825,3,R2
SEAS,consumer_disc,69.51,54.02,38.51,87.18,94.23,-0.10622880049337036,-0.12528307500116834,10,R2
SEER,healthcare,35.11,19.1,49.04,,50.29,-0.7514248136782113,-0.7814248136782114,4,R2
SEM,healthcare,56.98,80.99,58.54,,55.17,-0.061320754716981174,-0.08744852935467587,9,R2
SEMR,tech_software,31.95,9.69,57.47,,47.68,-0.6100719424460432,-0.6400719424460433,3,R2
SENS,healthcare,51.33,0.0,1.15,100.0,99.2,-0.602996254681648,-0.632996254681648,8,R2
SES,consumer_disc,18.89,0.0,8.33,,46.34,-0.650251256281407,-0.6683634590352969,1,R2
SFIX,consumer_disc,0.23,0.0,16.42,,5.81,-0.7880549682875264,-0.8110376626582279,1,R2
SFM,consumer_staples,59.08,76.69,80.0,5.56,62.07,0.08119946091644215,0.06527668984088332,9,R2
SGEN,healthcare,27.42,18.61,68.54,14.41,39.97,-0.14294954721862874,-0.151261970350969,2,R2
SGFY,tech_software,13.2,41.45,35.14,,4.64,1.0175808720112518,0.9875808720112518,1,R2
SGH,tech_hardware,50.39,50.88,21.51,,79.35,-0.5333896872358411,-0.555342597014609,7,R2
SGHT,healthcare,35.68,0.0,27.56,,90.23,-0.3124644280022766,-0.3424644280022766,4,R2
