ticker,sector_group,potential_score,valuation_score,quality_score,growth_score,sentiment_score,fwd_return,fwd_return_net,decile,regime_label
ASTS,industrials,36.36,0.0,55.77,,81.82,2.7097844112769485,2.6797844112769487,4,R3
ATCX,industrials,45.19,25.0,32.14,61.7,98.0,-0.3,-0.32999999999999996,6,R3
ATEC,healthcare,42.56,0.0,30.96,88.68,64.75,-0.3401720714758437,-0.3665798561227932,5,R3
ATEN,tech_software,21.29,77.37,64.28,9.63,18.23,0.4183673469387754,0.38949894757527864,1,R3
ATEX,industrials,29.57,5.0,4.82,100.0,48.48,-0.13565426170468187,-0.16565426170468187,2,R3
ATI,industrials,60.79,54.54,38.67,87.24,75.96,0.2115680668572686,0.19424349465980645,9,R3
ATKR,industrials,70.51,89.46,95.52,69.9,46.15,-0.48286140089418783,-0.5008600339166269,10,R3
ATMU,industrials,60.77,82.19,64.94,,59.79,0.6713917525773194,0.6451662988912488,9,R3
ATNI,industrials,18.38,23.19,52.52,,12.12,-0.5926773455377574,-0.6226773455377574,1,R3
ATO,utilities,57.27,63.37,25.0,83.72,75.0,0.21382387760677535,0.20724824301392336,9,R3
ATRC,healthcare,27.33,0.0,45.64,66.98,29.51,-0.11992154665172317,-0.14540415960378186,2,R3
ATRI,healthcare,32.64,80.12,62.65,,7.38,0.22651874766654223,0.19651874766654223,3,R3
ATRO,industrials,28.23,1.45,13.38,45.8,87.88,-0.07921928817451218,-0.10921928817451218,2,R3
ATUS,consumer_disc,23.11,41.67,73.13,19.23,6.25,-0.2584615384615384,-0.28846153846153844,2,R3
ATVI,tech_software,37.38,59.34,63.03,5.5,62.59,-0.3,-0.3055263732732957,4,R3
AUPH,healthcare,67.85,29.81,82.0,85.82,76.65,-0.10233592880978859,-0.1323359288097886,10,R3
AUR,tech_software,34.06,0.0,0.76,,96.43,0.5995423340961099,0.5695423340961099,3,R3
AUTL,healthcare,26.8,16.23,21.35,28.36,59.76,-0.6335403726708075,-0.6635403726708076,2,R3
AVA,utilities,49.08,64.04,43.75,76.74,23.08,0.036340852130325674,0.018633269532677722,7,R3
AVAV,industrials,40.5,7.25,20.61,71.43,81.82,0.3093462392891144,0.2884339360778571,5,R3
