ticker,sector_group,potential_score,valuation_score,quality_score,growth_score,sentiment_score,fwd_return,fwd_return_net,decile,regime_label
XRX,tech_software,28.04,97.0,28.42,8.33,45.4,-0.22469280280866,-0.23469280280866,3,R2
XYL,industrials,29.47,16.38,49.0,15.28,47.37,-0.04586188719030049,-0.04986188719030049,3,R2
YELL,industrials,26.88,23.23,10.42,13.79,100.0,-0.7879269261318507,-0.7979269261318507,2,R2
YETI,consumer_disc,48.86,17.78,87.15,63.79,44.19,-0.4885910901847157,-0.4985910901847157,7,R2
YEXT,tech_software,18.75,0.0,43.75,33.33,18.47,-0.36592741935483875,-0.37592741935483875,2,R2
YMAB,healthcare,37.7,20.05,66.29,,46.82,-0.7143738433066009,-0.7243738433066009,4,R2
YNDX,tech_software,35.9,29.03,31.96,,47.14,-0.6869421487603306,-0.6909421487603306,4,R2
YOU,tech_software,11.72,0.0,41.63,,18.57,-0.12338593974175027,-0.13338593974175028,1,R2
YUM,consumer_disc,54.52,45.13,94.12,25.0,70.97,-0.0502226040771695,-0.0542226040771695,8,R2
YUMC,consumer_disc,30.4,30.43,64.71,20.83,25.81,0.19931638538773755,0.19531638538773755,3,R2
ZBH,healthcare,35.4,80.19,64.6,4.04,21.6,0.025994784218053235,0.021994784218053235,4,R2
ZBRA,industrials,55.28,13.45,85.24,,77.89,-0.517926747311828,-0.521926747311828,8,R2
ZEN,tech_software,49.0,16.22,55.33,72.84,22.92,-0.25707162719340304,-0.26107162719340304,7,R2
ZETA,tech_software,40.28,30.37,43.05,,66.24,0.014251781472683911,0.004251781472683911,5,R2
ZGNX,healthcare,27.49,0.0,34.27,100.0,7.5,0.6418461538461537,0.6318461538461537,3,R2
ZI,tech_software,62.75,12.04,85.09,,78.49,-0.6032710280373832,-0.6072710280373832,10,R2
ZLAB,healthcare,35.08,17.61,23.6,,57.0,-0.32760540970564844,-0.33760540970564845,4,R2
ZM,tech_software,56.78,55.57,76.98,75.93,11.33,-0.6147028437822848,-0.6187028437822848,9,R2
ZNGA,tech_software,51.66,34.29,50.56,81.48,12.91,0.27812499999999996,0.26812499999999995,8,R2
ZNTL,healthcare,30.55,7.02,46.69,,45.38,-0.7600523435641209,-0.7700523435641209,3,R2
ZOM,healthcare,30.34,0.0,3.81,,88.8,-0.19354838709677413,-0.20354838709677414,3,R2
ZS,tech_software,63.91,5.24,71.01,,92.49,-0.6733264867892821,-0.6773264867892821,10,R2
ZTS,healthcare,54.88,22.14,79.55,50.0,77.5,-0.3627724986025713,-0.36677249860257133,8,R2
ZUMZ,consumer_disc,38.2,65.78,78.74,22.41,39.53,-0.5003125651177329,-0.5103125651177329,5,R2
ZUO,tech_software,36.49,13.78,31.99,42.59,74.83,-0.6477516059957173,-0.6577516059957174,4,R2
ZY,healthcare,51.51,21.91,1.12,,98.86,-0.6367713004484306,-0.6467713004484306,8,R2
ZYME,healthcare,52.19,60.87,42.29,71.19,56.71,-0.5241000610128127,-0.5341000610128127,8,R2
