ticker,sector_group,potential_score,valuation_score,quality_score,growth_score,sentiment_score,fwd_return,fwd_return_net,decile,regime_label
GIII,consumer_disc,48.41,93.39,55.56,70.79,20.51,-0.10934017169586263,-0.13684674696554744,6,R5
GILD,healthcare,35.49,75.0,35.51,31.62,33.81,0.3661972690636004,0.36091998581987167,3,R5
GIS,consumer_staples,60.23,62.92,71.01,46.39,57.89,-0.23752025853228964,-0.2430811351730444,9,R5
GKOS,healthcare,52.29,0.0,39.46,67.62,93.44,-0.24696542842397373,-0.26286536520724385,7,R5
GLBE,consumer_disc,31.22,2.78,6.44,,72.84,-0.27911239000016475,-0.2970378531355921,3,R5
GLDD,industrials,46.39,93.18,26.83,30.61,73.68,-0.3,-0.32999999999999996,6,R5
GLP,energy,40.77,51.92,37.49,34.44,65.4,-0.043965052815927996,-0.073965052815928,4,R5
GLPI,reits,61.65,74.53,50.36,65.35,56.64,-0.008352201758529576,-0.015568048962155167,9,R5
GLUE,healthcare,46.56,22.85,52.33,,67.34,1.2593660382097664,1.2293660382097664,6,R5
GLUU,tech_software,40.24,33.01,48.37,,37.85,-0.3,-0.3188173111477766,4,R5
GLW,tech_hardware,40.79,18.95,44.94,26.55,80.6,0.877434118274157,0.8711625968049276,4,R5
GM,consumer_disc,69.25,90.55,38.21,54.3,90.91,0.5422448223489742,0.5365194943002257,10,R5
GME,consumer_disc,32.45,2.38,44.54,4.17,87.65,-0.359285260890043,-0.3717543456819475,3,R5
GMED,healthcare,67.21,28.83,60.15,89.13,86.89,0.05561597822021236,0.04645848721570986,10,R5
GMRE,reits,22.68,50.61,50.36,10.89,9.09,-0.3,-0.3289166865394673,1,R5
GMS,industrials,64.5,86.16,49.49,82.74,50.76,-0.3,-0.31627598986649885,10,R5
GMTX,healthcare,33.6,8.62,69.32,,41.06,-0.3,-0.32999999999999996,3,R5
GNK,industrials,46.72,80.21,67.95,21.38,51.92,0.39172084652891725,0.3664215047600489,6,R5
GNL,reits,45.88,47.86,50.36,89.11,7.69,0.322415088995909,0.29732144721743126,6,R5
GNRC,industrials,48.16,44.15,61.19,35.58,66.67,-0.1204772968901161,-0.1363560877682896,6,R5
GNTX,consumer_disc,52.35,38.66,87.27,52.39,49.09,-0.1741089430908903,-0.18886449776180245,7,R5
