ticker,sector_group,potential_score,valuation_score,quality_score,growth_score,sentiment_score,fwd_return,fwd_return_net,decile,regime_label
A,healthcare,54.32,38.88,68.37,40.78,73.77,-0.11769135971518552,-0.12169135971518552,8,R3
AAON,industrials,46.81,7.32,54.05,85.26,65.71,0.4380682966255809,0.4280682966255809,6,R3
AAP,consumer_disc,27.78,58.58,36.99,3.95,28.4,-0.5765917056074766,-0.5865917056074766,2,R3
AAPL,tech_hardware,60.95,43.57,89.6,83.64,44.26,0.4410039878020173,0.4370039878020173,10,R3
AAT,reits,34.82,25.24,50.38,51.04,47.37,-0.04665127020785209,-0.05665127020785209,4,R3
AAWW,industrials,61.18,80.41,63.16,37.84,77.27,0.01666666666666683,0.006666666666666829,10,R3
ABBV,healthcare,54.86,55.08,71.11,48.0,72.22,0.06161303920191097,0.057613039201910965,9,R3
ABCL,healthcare,51.98,64.72,60.87,69.47,51.95,-0.44422507403751244,-0.45422507403751244,8,R3
ABG,consumer_disc,67.72,51.63,43.11,91.11,87.72,0.1740027894002789,0.1640027894002789,10,R3
ABM,industrials,54.6,52.98,33.54,69.23,84.31,-0.011898980087421074,-0.021898980087421076,8,R3
ABMD,healthcare,63.78,23.24,90.11,,84.43,0.0,-0.004,10,R3
ABNB,consumer_disc,36.64,15.15,34.26,65.31,32.73,0.6346198830409355,0.6306198830409355,4,R3
ABR,reits,73.24,93.2,50.38,100.0,62.41,0.29806598407281015,0.28806598407281014,10,R3
ABT,healthcare,50.82,73.29,68.38,35.92,50.0,0.06281137051870656,0.05881137051870655,7,R3
ABUS,healthcare,50.17,29.59,36.91,84.73,45.18,0.03862660944205998,0.028626609442059976,7,R3
ACA,industrials,47.65,54.67,55.05,25.0,82.69,0.4548997772828507,0.4448997772828507,7,R3
ACAD,healthcare,36.86,24.73,86.96,36.64,48.04,0.8404522613065326,0.8304522613065326,4,R3
ACCD,tech_software,40.2,21.97,24.23,86.54,25.0,0.9281129653401796,0.9181129653401796,5,R3
ACCO,industrials,34.1,95.2,28.93,28.42,22.86,0.19599109131403125,0.18599109131403124,3,R3
ACET,healthcare,44.68,24.13,55.54,46.56,72.2,-0.6252796420581654,-0.6352796420581655,6,R3
