ticker,sector_group,potential_score,valuation_score,quality_score,growth_score,sentiment_score,fwd_return,fwd_return_net,decile,regime_label
A,healthcare,54.34,39.72,68.13,40.0,73.95,-0.11771162024969128,-0.12440597623674512,8,R3
AAON,industrials,46.84,7.9,54.05,84.78,65.71,0.4382204246713852,0.41648560075600544,6,R3
AAP,consumer_disc,27.51,58.14,36.65,4.23,27.85,-0.5765917056074766,-0.5900073382681534,2,R3
AAPL,tech_hardware,60.65,43.08,89.43,82.22,45.0,0.44102684511231116,0.4366393822284225,9,R3
AAT,reits,34.89,24.75,50.39,52.13,47.33,-0.046391752577319534,-0.07105006233421968,4,R3
AAWW,industrials,62.46,81.49,63.16,39.47,79.55,0.01666666666666683,-0.0017275845913517773,10,R3
ABBV,healthcare,55.0,55.06,70.28,50.0,71.43,0.06161303920191097,0.05653970711648648,9,R3
ABCL,healthcare,51.87,65.96,60.87,68.99,51.96,-0.44422507403751244,-0.47422507403751246,8,R3
ABG,consumer_disc,67.73,51.89,43.05,90.7,87.93,0.1740027894002789,0.1533711608821124,10,R3
ABM,industrials,53.54,52.06,34.4,65.71,83.67,-0.011733072598386629,-0.034038346507961365,8,R3
ABMD,healthcare,63.14,22.01,89.86,,84.03,0.0,-0.0071820389899336316,10,R3
ABNB,consumer_disc,35.77,15.15,34.91,60.87,33.33,0.6346198830409355,0.6273651796295979,4,R3
ABR,reits,73.01,93.07,50.39,100.0,61.83,0.29777256740914426,0.27720626522350195,10,R3
ABT,healthcare,51.2,75.62,67.86,35.0,50.42,0.06281137051870656,0.057332496192634495,8,R3
ABUS,healthcare,50.16,29.79,37.0,84.5,45.39,0.03862660944205998,0.00862660944205998,7,R3
ACA,industrials,46.49,51.5,55.05,23.91,82.35,0.4548997772828507,0.4296111052298944,6,R3
ACAD,healthcare,36.86,25.02,86.96,36.43,48.26,0.8404522613065326,0.8104522613065326,4,R3
ACC,reits,42.38,6.93,50.39,,96.18,-0.3,-0.31287336466124543,5,R3
ACCD,tech_software,40.37,21.9,24.08,86.84,25.29,0.9281129653401796,0.8981129653401796,5,R3
ACCO,industrials,34.07,95.19,28.93,28.26,22.86,0.19274376417233552,0.16274376417233552,3,R3
ACEL,consumer_disc,49.42,78.79,55.63,78.26,35.19,0.3064935064935066,0.27649350649350657,7,R3
ACET,healthcare,44.65,24.31,55.68,46.51,72.08,-0.6252796420581654,-0.6552796420581655,6,R3
ACHC,healthcare,61.41,40.0,65.15,41.67,100.0,0.017492711370262537,0.0010351126367486169,10,R3
ACHR,industrials,0.87,0.0,21.21,,12.12,1.8770053475935828,1.8470053475935828,1,R3
ACIW,tech_software,26.15,80.34,33.95,9.47,39.61,0.3221739130434782,0.30245884260045564,2,R3
ACLS,tech_hardware,64.7,52.47,53.31,76.0,91.27,0.46270161290322576,0.4376233839139006,10,R3
ACLX,healthcare,12.72,4.88,35.27,,21.46,0.7801807617817946,0.7501807617817946,1,R3
ACM,industrials,37.25,26.36,36.77,15.22,76.47,0.06366307541625837,0.05470266544585821,4,R3
ACRE,reits,64.23,84.16,50.39,87.23,70.23,0.14664586583463324,0.11727507058454494,10,R3
ACRS,healthcare,46.84,0.0,4.52,98.0,87.39,-0.9365079365079365,-0.9665079365079365,6,R3
ACVA,consumer_disc,21.88,23.21,12.19,81.4,8.62,0.7673568818514005,0.7373568818514005,2,R3
ADBE,tech_software,50.31,59.5,95.54,38.95,45.49,0.7562475856535822,0.7506085387175078,7,R3
ADI,tech_hardware,64.89,38.31,63.45,80.0,72.22,0.17026363401395717,0.16436208266090582,10,R3
ADM,consumer_staples,65.47,70.77,25.93,77.78,98.08,-0.23576158940397351,-0.24232592671124703,10,R3
ADMA,healthcare,48.51,61.7,4.35,80.62,52.28,0.27835051546391765,0.24835051546391765,7,R3
ADMS,healthcare,25.23,0.0,58.57,,50.0,-0.3,-0.32999999999999996,2,R3
ADNT,consumer_disc,27.45,36.57,28.7,16.28,53.45,-0.019313923320841586,-0.045203308791875285,2,R3
ADP,industrials,65.99,35.36,90.98,,75.51,0.007495911321097504,0.001789459772321202,10,R3
ADPT,healthcare,42.98,29.05,20.65,67.44,53.69,-0.3717277486910995,-0.4017277486910995,5,R3
ADSK,tech_software,52.65,31.23,93.19,33.68,69.22,0.2780007491839245,0.27085284955786204,8,R3
ADT,tech_hardware,39.34,37.03,46.76,4.44,88.33,-0.26488456865127585,-0.2871534508691302,5,R3
ADUS,healthcare,43.5,12.5,57.47,37.5,90.0,-0.1092572117800783,-0.13690596464762925,5,R3
AEE,utilities,45.99,48.65,25.0,78.57,46.67,-0.14405611925341355,-0.15085831513910114,6,R3
AEHR,tech_hardware,44.74,7.41,34.61,,93.65,-0.07512437810945283,-0.10512437810945283,6,R3
AEIS,tech_hardware,50.32,31.55,69.35,,73.33,0.20582341152894035,0.1802876656364988,7,R3
AEO,consumer_disc,33.75,51.52,29.61,45.07,29.11,0.5816890292028414,0.563106776273138,3,R3
AEP,utilities,53.41,49.99,40.91,61.9,73.33,-0.09523239099185432,-0.1008131571988234,8,R3
AERI,healthcare,44.42,0.0,38.29,,100.0,0.0,-0.03,6,R3
AEVA,consumer_disc,0.0,12.5,6.99,4.65,5.17,-0.19117647058823528,-0.22117647058823528,1,R3
AFCG,reits,54.36,80.2,50.38,,56.49,-0.09629629629629632,-0.12629629629629632,8,R3
AFRM,non_bank_financial,10.21,32.26,8.3,,9.38,3.5046535677352644,3.4834965382917,1,R3
AGEN,healthcare,45.76,48.94,77.17,54.26,50.01,-0.6979409891742729,-0.727940989174273,6,R3
AGIO,healthcare,40.77,59.6,55.83,,46.48,-0.16666666666666663,-0.19666666666666663,5,R3
AGL,healthcare,35.9,0.0,39.19,75.0,50.0,-0.5055762081784387,-0.5298867188225724,4,R3
AGNC,reits,47.12,90.1,50.38,14.89,25.95,0.11433172302737526,0.09988787995639059,6,R3
AGR,utilities,46.78,66.74,59.09,47.62,11.11,-0.17854386416259316,-0.18904459972967708,6,R3
