ticker,valuation_score_sf,quality_score_sf,growth_score_sf,sentiment_score_sf,potential_score_sf,valuation_score_fmp,quality_score_fmp,growth_score_fmp,sentiment_score_fmp,potential_score_fmp,in_sample
BLCO,16.16,45.82,37.18,27.5,21.62,16.16,45.65,37.9,27.5,21.83,True
BLD,61.58,68.69,73.02,54.55,61.81,61.58,68.69,69.74,54.55,61.03,True
BLDE,0.0,10.26,,90.38,19.17,0.0,10.9,,90.38,19.4,False
BLDR,80.88,70.71,31.35,37.88,53.89,80.88,69.7,24.62,37.88,52.08,True
BLK,24.1,63.24,15.62,84.78,41.86,24.1,64.43,18.18,84.78,43.06,False
BLKB,52.28,49.61,20.81,20.8,25.18,52.28,43.23,19.46,20.8,23.26,True
BLMN,98.57,35.09,,5.41,35.89,98.57,33.33,,5.41,35.35,False
BLND,14.5,59.91,0.9,56.93,14.29,14.5,61.81,0.9,56.93,14.66,False
BLTE,4.47,54.65,,58.26,38.26,4.47,54.64,,58.26,38.26,False
BMBL,50.0,33.2,64.25,1.69,29.34,50.0,34.63,59.76,1.69,28.08,True
BMI,18.76,79.97,88.26,72.46,62.67,18.76,79.48,86.41,72.46,61.99,True
BMRN,65.16,39.67,46.48,43.27,44.33,65.16,39.67,46.48,43.27,44.33,True
BMY,67.69,65.91,38.91,90.24,62.46,67.69,68.41,33.03,90.24,60.83,False
BNED,10.53,8.83,51.49,86.84,33.63,10.53,9.5,55.97,86.84,35.31,False
BNFT,6.06,29.17,,42.65,25.8,6.06,31.19,,42.65,26.57,False
BNTC,37.75,21.95,,63.63,35.91,37.75,27.18,,63.63,37.6,True
BOOT,21.79,56.81,72.37,73.68,56.29,21.79,58.86,72.42,73.68,56.72,False
BOX,58.01,84.74,23.53,73.72,46.44,58.01,84.94,22.17,73.72,45.79,False
BPMC,9.29,81.82,72.54,35.06,58.65,9.29,81.82,72.54,35.06,58.65,True
BPMP,56.94,100.0,,28.29,58.66,56.94,100.0,,28.29,58.66,False
BR,30.79,63.62,50.99,77.36,53.03,30.79,64.3,54.15,77.36,54.15,True
BRBR,18.37,79.89,89.58,79.63,60.98,18.37,80.51,89.8,79.63,61.21,True
BRDG,54.98,78.95,,95.65,66.28,54.98,77.87,,95.65,65.87,False
BRK-A,,,,,,,,,,,True
BRKR,15.59,59.74,51.62,10.83,31.0,15.59,60.25,53.55,10.83,31.75,True
BRKS,1.99,28.09,61.4,62.68,43.05,1.99,27.6,63.16,62.68,43.56,False
BRMK,44.57,82.98,4.54,34.69,40.76,44.57,81.01,4.08,34.69,40.11,True
BRO,58.56,60.93,76.65,48.65,62.95,58.56,62.2,74.4,48.65,62.47,False
BROS,27.54,21.93,94.97,91.89,63.22,27.54,22.81,92.8,91.89,62.64,True
BRP,16.67,17.95,85.48,27.03,38.11,16.67,20.66,85.48,27.03,38.78,True
BRSP,67.66,30.49,,23.13,35.3,67.66,30.27,,23.13,35.21,False
BRX,49.95,78.03,38.58,85.71,56.53,49.95,77.64,33.3,85.71,54.81,True
BRZE,6.93,34.42,88.24,7.48,48.94,6.93,34.75,87.78,7.48,48.78,False
BSIG,46.5,60.38,56.25,69.57,49.16,46.5,60.42,57.58,69.57,49.64,False
BSM,49.33,96.0,13.14,44.68,44.82,49.33,98.0,20.33,44.68,46.54,False
BSX,25.38,68.83,67.01,84.17,61.04,25.38,68.72,67.75,84.17,61.28,True
BSY,29.63,89.21,41.86,64.78,51.96,29.63,89.23,41.86,64.78,51.96,True
BTBT,22.22,31.54,,8.11,11.51,22.22,31.54,,8.11,11.51,False
BTU,73.59,73.0,26.09,8.06,41.19,73.59,73.0,26.09,8.06,41.19,False
BURL,24.83,88.17,91.87,32.26,56.28,24.83,88.17,89.56,32.26,55.85,True
BV,32.71,49.65,20.93,84.91,36.94,32.71,49.0,20.93,84.91,36.78,False
BWMN,4.48,17.82,,13.21,1.69,4.48,17.16,,13.21,1.46,False
BWXT,46.21,82.68,49.89,65.79,58.75,46.21,82.68,53.55,65.79,59.85,False
BX,16.0,64.48,53.12,78.26,52.09,16.0,65.66,52.81,78.26,52.27,False
BXC,54.84,23.23,4.56,19.7,17.14,54.84,23.23,4.42,19.7,17.11,True
BXP,37.4,45.62,24.58,91.84,40.84,37.4,42.75,24.38,91.84,40.05,False
BYD,89.32,80.18,37.91,83.05,65.93,89.32,82.53,39.33,83.05,66.89,True
BYRN,5.95,11.81,12.5,89.47,15.89,5.95,11.81,15.62,89.47,16.83,False
BZ,,,,,,,,,,,False
BZH,,,,,,,,,,,False
CABO,65.38,71.03,37.39,5.71,40.14,65.38,71.03,34.62,5.71,39.3,False
CACC,,,,,,,,,,,True
CACI,71.54,20.72,43.89,64.6,44.95,71.54,23.24,43.44,64.6,45.21,False
CAG,82.12,40.75,40.62,35.19,51.19,82.12,31.31,40.11,35.19,48.25,True
CAH,,,,,,,,,,,True
CAI,,,,,,,,,,,False
CAKE,65.71,44.74,53.42,94.59,62.05,65.71,40.35,62.11,94.59,64.18,True
CAL,85.48,59.46,49.22,5.41,38.15,85.48,59.46,49.69,5.41,38.31,False
CALM,13.7,43.55,,100.0,44.03,13.7,44.18,,100.0,44.26,False
CALX,15.44,30.12,85.07,85.22,60.46,15.44,27.39,9.05,85.22,21.67,True
CAMT,23.69,71.03,96.49,26.09,51.27,23.69,68.59,89.47,26.09,48.36,True
CAPR,17.4,44.07,90.14,91.32,68.03,17.4,44.29,89.44,91.32,67.68,True
CAR,15.0,39.14,,74.58,42.45,15.0,39.2,,74.58,42.47,False
CARG,46.29,78.55,3.57,82.35,41.16,46.29,77.51,7.14,82.35,42.17,False
CARR,33.89,51.82,31.19,62.83,42.12,33.89,51.83,30.2,62.83,41.83,False
CARS,53.81,48.28,38.76,1.72,25.41,53.81,48.28,39.76,1.72,25.75,False
CASS,57.8,51.02,,60.38,46.12,57.8,51.02,,60.38,46.12,False
CASY,28.92,58.06,79.17,70.97,54.42,28.92,54.84,80.04,70.97,53.61,True
CAT,,,,,,,,,,,True
CATM,61.5,44.02,,34.96,47.78,61.5,44.32,,34.96,47.89,False
CAVA,11.43,21.93,91.43,18.92,40.94,11.43,21.93,91.43,18.92,40.94,False
CBAY,9.57,49.61,,48.98,39.1,9.57,49.62,,48.98,39.11,False
CBB,28.99,55.56,35.68,27.14,37.25,28.99,55.56,32.91,27.14,36.42,False
CBOE,39.27,63.86,32.84,72.97,48.48,39.27,65.21,28.23,72.97,47.18,False
CBRE,,,,,,,,,,,True
CBRL,61.92,42.98,20.0,75.68,43.02,61.92,44.74,20.0,75.68,43.37,False
CBT,85.85,80.0,43.59,44.44,59.79,85.85,80.0,43.59,44.44,59.79,False
CBZ,,,,,,,,,,,False
CC,40.81,20.0,51.28,8.89,25.22,40.81,20.0,51.28,8.89,25.22,False
CCCS,29.01,73.81,38.91,19.16,39.0,29.01,74.85,38.91,19.16,39.2,True
CCF,47.94,83.3,85.15,34.96,64.2,47.94,76.7,83.17,34.96,61.96,True
CCI,31.68,61.31,69.23,37.14,50.41,31.68,61.31,69.23,37.14,50.41,False
CCK,,,,,,,,,,,False
CCL,78.64,30.77,96.29,86.44,75.96,78.64,30.43,97.17,86.44,76.2,True
CCMP,55.82,41.08,,62.68,53.99,55.82,41.08,,62.68,53.99,False
CCO,32.21,52.31,21.63,5.66,18.8,32.21,52.99,20.3,5.66,18.57,False
CCOI,4.35,37.1,48.72,17.14,24.53,4.35,38.49,48.72,17.14,24.87,False
CCRN,15.91,64.71,16.79,32.26,18.12,15.91,66.49,11.46,32.26,16.57,True
CCS,,,,,,,,,,,True
CCSI,97.23,78.76,10.86,50.18,31.5,97.23,80.28,10.41,50.18,31.56,False
CCXI,7.69,95.04,,48.98,57.08,7.69,95.04,,48.98,57.08,False
CDE,36.8,20.83,51.24,70.97,41.71,36.8,20.83,51.24,70.97,41.71,False
CDK,70.49,37.03,,44.98,47.95,70.49,38.77,,44.98,48.63,False
CDMO,12.97,4.13,37.32,44.32,22.18,12.97,4.13,37.32,44.32,22.18,True
CDNA,46.92,32.96,26.21,86.67,37.61,46.92,32.44,27.18,86.67,37.86,False
CDNS,23.65,93.89,56.11,49.64,57.42,23.65,94.08,55.66,49.64,57.23,False
CDR,23.29,37.75,,34.69,30.84,23.29,35.55,,34.69,30.03,False
CDRE,34.92,76.13,40.62,31.58,38.41,34.92,76.13,40.62,31.58,38.41,False
CDTX,11.88,26.2,,52.75,27.46,11.88,26.42,,52.75,27.53,False
CDW,69.27,17.37,5.43,28.01,18.13,69.27,19.52,5.43,28.01,18.54,False
CDXC,35.46,20.66,47.18,57.81,34.85,35.46,20.66,47.18,57.81,34.85,False
CE,28.43,75.56,57.97,4.44,35.69,28.43,75.56,57.15,4.44,35.5,False
CEG,,,,,,,,,,,False
CEIX,,,,,,,,,,,False
CELC,11.62,48.01,,39.74,27.79,11.62,47.91,,39.74,27.76,False
CELH,,,,,,,,,,,True
CENT,67.34,31.25,18.75,55.56,34.97,67.34,31.87,18.37,55.56,35.09,True
CENX,43.46,33.33,13.04,45.16,26.01,43.46,33.33,13.04,45.16,26.01,False
CEPU,98.98,92.12,,81.63,83.02,98.98,92.51,,81.63,83.18,False
CEQP,42.38,28.95,100.0,28.29,42.39,42.38,31.58,96.67,28.29,42.34,False
CERE,4.08,45.85,,33.34,29.49,4.08,46.06,,33.34,29.56,False
CERT,47.12,57.95,31.22,29.47,30.54,47.12,59.27,31.67,29.47,31.03,False
CEVA,5.56,44.3,26.68,45.16,19.38,5.56,45.41,24.76,45.16,19.08,True
CF,,,,,,,,,,,False
CFLT,2.31,32.8,86.88,20.26,50.09,2.31,32.98,86.43,20.26,49.89,False
CFX,3.12,14.46,77.43,37.5,35.01,3.12,14.46,79.18,37.5,35.53,False
CGBD,41.43,94.57,42.19,13.04,42.88,41.43,92.39,46.97,13.04,44.04,False
CGEM,19.8,80.22,,54.88,47.3,19.8,79.92,,54.88,47.21,False
CGNX,28.75,77.9,20.61,4.35,30.22,28.75,77.9,23.27,4.35,31.02,False
CHCT,33.52,43.18,54.95,9.52,29.32,33.52,41.46,55.51,9.52,29.05,False
CHD,21.67,74.49,60.42,50.0,49.81,21.67,66.95,59.69,50.0,47.4,True
CHDN,51.82,59.17,68.0,6.78,45.25,51.82,57.57,73.42,6.78,46.81,True
CHE,35.41,96.67,36.76,64.52,51.11,35.41,96.67,37.5,64.52,51.37,True
CHEF,36.29,40.86,98.21,90.32,55.42,36.29,40.86,98.28,90.32,55.43,True
CHH,44.41,87.16,41.15,47.46,50.38,44.41,90.64,39.78,47.46,50.6,False
CHKP,62.3,98.13,27.15,76.64,52.92,62.3,97.95,27.15,76.64,52.88,False
CHNG,42.26,42.16,,44.98,43.23,42.26,43.54,,44.98,43.77,False
CHPT,0.0,5.77,32.56,7.69,2.71,0.0,5.77,32.56,7.69,2.71,False
CHRW,41.52,45.83,8.1,84.62,39.22,41.52,47.76,8.1,84.62,39.7,True
CHS,71.22,39.0,98.51,48.03,58.34,71.22,40.36,98.51,48.03,58.61,False
CHTR,72.93,68.25,48.08,65.71,61.73,72.93,68.25,45.3,65.71,60.9,False
CHUY,54.43,54.82,54.29,83.78,52.89,54.43,54.82,54.29,83.78,52.89,False
CHWY,18.01,16.0,88.34,92.11,58.63,18.01,17.33,90.58,92.11,59.66,True
CIEN,28.84,53.33,69.23,80.65,55.15,28.84,54.41,69.23,80.65,55.41,True
CIFR,13.89,2.78,,13.51,2.6,13.89,2.78,,13.51,2.6,False
CIM,61.65,78.29,,73.47,61.25,61.65,78.13,,73.47,61.19,False
CINC,6.69,,,48.98,38.73,6.69,,,48.98,38.73,False
CIR,31.35,10.45,40.59,34.96,27.72,31.35,10.15,36.63,34.96,26.46,True
CIVI,97.44,94.0,90.48,6.79,67.69,97.44,96.0,90.48,6.79,68.11,False
CL,41.37,94.36,56.77,51.85,61.85,41.37,94.36,56.09,51.85,61.72,True
CLBR,,,,,,,,,,,False
CLBT,24.46,83.53,,41.06,48.43,24.46,85.04,,41.06,49.02,False
CLDR,28.99,69.42,,44.98,50.71,28.99,71.32,,44.98,51.46,False
CLDT,74.89,37.26,,15.65,39.49,74.89,34.98,,15.65,38.65,False
CLDX,19.44,43.52,80.28,42.78,53.04,19.44,43.62,79.58,42.78,52.68,True
CLF,0.0,54.17,18.01,16.13,17.46,0.0,54.17,18.01,16.13,17.46,False
CLFD,23.12,58.92,3.85,32.26,18.08,23.12,58.92,3.85,32.26,18.08,False
CLGX,58.49,76.84,,33.96,58.09,58.49,77.82,,33.96,58.44,False
CLH,,,,,,,,,,,True
CLMT,3.57,12.0,76.19,13.46,11.18,3.57,14.0,76.19,13.46,11.6,False
CLNE,,,,,,,,,,,False
CLOV,,,,,,,,,,,True
CLPT,0.0,23.97,80.58,98.33,46.47,0.0,23.71,81.55,98.33,46.76,False
CLR,52.62,14.0,88.1,62.58,53.61,52.62,16.0,88.1,62.58,54.03,False
CLS,17.48,43.45,,89.86,45.28,17.48,42.97,,89.86,45.11,False
CLSK,,,,,,,,,,,False
CLVT,62.71,51.55,9.95,17.7,18.07,62.71,53.84,9.5,17.7,18.29,True
CLW,,,,,,,,,,,False
CLX,24.04,62.87,29.17,57.41,42.49,24.04,63.5,28.57,57.41,42.57,False
CMC,,,,,,,,,,,True
CMCO,,,,,,,,,,,False
CMCSA,86.85,72.02,51.71,20.0,58.75,86.85,73.41,48.93,20.0,58.26,True
CME,73.51,78.65,39.74,81.08,63.87,73.51,77.22,36.49,81.08,62.37,True
CMG,22.86,84.21,69.75,21.62,50.2,22.86,85.96,67.58,21.62,49.8,True
CMI,66.83,40.43,59.39,69.91,57.48,66.83,44.3,56.55,69.91,57.59,True
CMPR,,,,,,,,,,,True
CMPS,0.0,3.45,,12.9,0.0,0.0,3.45,,12.9,0.0,False
CMPX,13.33,39.06,,74.6,43.06,13.33,39.32,,74.6,43.14,False
CMRE,95.93,87.18,97.67,26.92,70.62,95.93,87.18,97.67,26.92,70.62,False
CMRX,8.82,100.0,0.7,53.74,18.7,8.82,100.0,0.7,53.74,18.7,True
CMS,23.14,46.67,46.34,67.35,41.26,23.14,46.67,46.34,67.35,41.26,False
CMTG,94.0,79.38,,0.68,60.43,94.0,77.69,,0.68,59.81,False
CNC,,,,,,,,,,,True
CNCE,14.5,40.26,,48.98,40.5,14.5,40.29,,48.98,40.51,False
CNDT,51.93,24.29,8.03,15.09,14.6,51.93,24.97,7.77,15.09,14.7,False
CNHI,,,,,,,,,,,False
CNK,72.47,61.29,66.67,83.87,68.02,72.47,64.52,70.37,83.87,70.12,True
CNM,51.34,44.74,67.15,66.37,55.35,51.34,45.04,67.53,66.37,55.54,False
CNMD,88.19,50.54,60.76,41.67,55.17,88.19,51.53,60.14,41.67,55.11,True
CNNE,0.0,3.51,2.86,48.65,8.9,0.0,3.51,2.86,48.65,8.9,False
CNP,35.48,80.0,19.51,69.39,48.73,35.48,77.78,19.51,69.39,48.06,False
CNR,2.08,26.06,1.96,12.5,6.32,2.08,27.84,2.0,12.5,6.77,False
CNS,18.26,73.67,43.75,47.83,40.74,18.26,73.72,40.91,47.83,39.75,False
CNSL,85.45,63.89,,34.29,53.33,85.45,63.89,,34.29,53.33,False
CNST,11.5,,,48.98,39.89,11.5,,,48.98,39.89,False
CNTA,11.52,32.94,,59.66,33.12,11.52,33.3,,59.66,33.24,False
CNX,14.52,70.0,56.24,90.27,51.5,14.52,54.0,6.38,90.27,39.08,True
CNXC,93.27,23.78,79.64,54.74,60.5,93.27,26.48,79.19,54.74,60.79,True
CNXN,55.9,41.07,33.63,47.83,35.86,55.9,41.06,38.71,47.83,37.38,True
COCO,13.41,72.33,79.69,83.33,51.0,13.41,72.96,78.86,83.33,51.03,True
CODI,,,,,,,,,,,False
COGT,10.43,,,27.6,13.43,10.43,,,27.6,13.43,False
COHR,68.91,39.11,,50.72,50.37,68.91,39.11,,50.72,50.37,False
COHU,42.0,29.01,,11.59,16.3,42.0,29.0,,11.59,16.3,False
COIN,22.21,50.97,65.77,59.46,50.94,22.21,50.89,63.44,59.46,50.1,False
COKE,,,,,,,,,,,True
COLD,30.88,27.41,,4.76,21.73,30.88,24.03,,4.76,20.48,False
COLL,47.13,80.99,,36.59,42.91,47.13,80.99,,36.59,42.91,False
COLM,58.06,69.37,64.42,35.14,53.64,58.06,70.27,63.08,35.14,53.35,False
COMP,29.41,9.8,8.6,85.22,18.68,29.41,10.13,7.69,85.22,18.29,True
CONE,5.7,28.03,,34.69,19.57,5.7,26.21,,34.69,18.9,False
COO,47.75,64.89,43.69,31.67,43.82,47.75,65.33,43.69,31.67,43.89,True
COP,41.15,38.0,30.33,32.96,35.68,41.15,46.0,33.52,32.96,37.94,False
COR,,,,,,,,,,,True
CORT,27.8,90.91,59.86,76.89,62.01,27.8,90.91,60.56,76.89,62.39,True
CORZ,0.0,20.51,,50.0,21.96,0.0,22.56,,50.0,22.76,False
COST,12.76,55.91,60.71,51.61,36.41,12.76,55.91,58.62,51.61,36.02,False
COT,,,,,,,,,,,False
COTY,45.05,57.02,72.92,3.7,41.59,45.05,52.1,67.44,3.7,39.08,True
COUP,15.13,47.96,,44.98,39.04,15.13,50.05,,44.98,39.85,False
COUR,,,,,,,,,,,False
CP,18.15,66.03,82.16,75.0,59.47,18.15,66.03,82.16,75.0,59.47,False
CPA,,,,,,,,,,,False
CPB,60.38,50.64,68.75,31.48,51.89,60.38,51.9,67.35,31.48,52.01,False
CPE,81.09,42.0,,62.58,60.57,81.09,50.0,,62.58,62.62,False
CPK,2.08,44.44,70.73,42.86,33.7,2.08,42.22,70.73,42.86,33.02,False
CPLG,61.67,31.9,,34.69,45.45,61.67,30.41,,34.69,44.9,False
CPNG,4.82,23.89,97.01,76.32,57.01,4.82,26.61,98.51,76.32,58.07,False
CPRI,96.77,86.49,97.14,8.11,65.93,96.77,83.78,8.57,8.11,34.84,True
CPRT,10.81,95.69,71.15,34.48,53.73,10.81,97.41,76.92,34.48,56.06,True
CPRX,77.69,51.24,70.42,58.11,60.25,77.69,51.24,70.42,58.11,60.25,True
CPS,67.04,17.24,68.27,96.55,55.01,67.04,18.1,70.19,96.55,55.84,False
CPT,12.84,50.23,,68.03,35.9,12.84,48.15,,68.03,35.14,False
CQP,55.98,60.53,38.63,59.87,48.69,55.98,57.89,35.69,59.87,47.6,False
CR,9.52,80.09,32.07,80.53,45.07,9.52,80.99,32.22,80.53,45.34,False
CRAI,31.27,59.34,51.55,58.49,45.54,31.27,60.65,50.86,58.49,45.66,False
CRC,50.67,50.0,72.57,34.97,46.3,50.67,58.0,71.76,34.97,47.84,False
CRCT,94.72,72.29,10.52,62.32,47.5,94.72,72.29,13.95,62.32,48.52,True
CRDO,6.4,36.7,96.15,100.0,57.03,6.4,35.59,96.15,100.0,56.76,True
CRGY,67.25,82.0,92.86,14.65,55.33,67.25,84.0,92.86,14.65,55.75,False
CRH,47.75,64.65,62.5,72.73,60.28,47.75,64.65,58.93,72.73,59.43,False
CRI,81.49,54.97,18.25,11.84,32.83,81.49,58.33,19.23,11.84,33.83,True
CRK,0.0,6.0,3.19,98.08,23.77,0.0,8.0,3.19,98.08,24.19,False
CRL,50.44,50.74,26.13,18.33,31.38,50.44,51.49,28.54,18.33,32.33,False
CRM,57.86,78.99,39.37,34.49,47.86,57.86,74.06,58.82,34.49,56.7,True
CRMD,14.96,73.55,,74.9,54.62,14.96,73.55,,74.9,54.62,False
CRMT,51.21,28.45,31.24,36.21,25.99,51.21,29.31,16.86,36.21,21.2,True
CRNC,42.3,40.66,13.57,49.27,18.81,42.3,41.45,12.22,49.27,18.28,False
CRNX,17.8,48.19,9.86,48.35,15.3,17.8,47.96,10.56,48.35,15.64,False
CRON,60.0,39.01,,24.39,31.15,60.0,38.18,,24.39,30.95,False
CROX,50.0,90.09,95.71,21.62,63.92,50.0,90.09,97.14,21.62,64.41,True
CRS,29.68,29.17,93.48,77.42,55.36,29.68,29.17,93.48,77.42,55.36,True
CRSP,18.96,45.2,95.77,24.22,62.15,18.96,45.32,95.07,24.22,61.79,False
CRSR,2.0,12.23,13.62,28.81,4.83,2.0,13.32,14.18,28.81,5.24,False
CRTO,90.98,50.8,,17.65,45.17,90.98,49.75,,17.65,44.77,False
CRUS,86.07,64.75,58.95,44.93,58.53,86.07,63.78,58.99,44.93,58.35,True
CRVL,13.79,68.92,55.35,64.86,46.49,13.79,64.71,46.44,64.86,42.31,True
CRVS,6.46,44.82,,88.37,50.85,6.46,44.92,,88.37,50.88,False
CRWD,4.41,80.25,93.67,77.92,76.87,4.41,79.16,98.64,77.92,79.17,True
CSCO,66.84,93.51,57.69,70.97,62.19,66.84,93.51,53.85,70.97,61.03,True
CSGP,,,,,,,,,,,True
CSGS,82.79,33.44,23.08,85.04,37.83,82.79,35.2,21.72,85.04,37.48,True
CSII,0.0,42.8,,53.33,30.99,0.0,43.14,,53.33,31.08,False
CSL,24.49,87.07,46.79,37.93,46.53,24.49,88.79,43.38,37.93,45.7,True
CSLT,38.24,27.17,,44.98,36.42,38.24,27.33,,44.98,36.49,False
CSOD,36.97,52.41,,44.98,45.97,36.97,54.06,,44.98,46.62,False
CSR,38.38,52.76,41.41,25.17,34.79,38.38,50.95,40.83,25.17,34.15,False
CSTL,52.97,42.15,71.83,62.13,53.67,52.97,42.15,71.83,62.13,53.67,True
CSTM,44.17,50.0,,41.94,38.26,44.17,50.0,,41.94,38.26,False
CSV,,,,,,,,,,,True
CSX,34.09,78.85,50.88,69.23,56.53,34.09,79.49,52.04,69.23,57.04,True
CTAS,15.63,68.65,68.68,81.13,56.88,15.63,68.65,62.66,81.13,55.08,True
CTIC,13.46,77.69,,48.98,52.42,13.46,77.69,,48.98,52.42,False
CTKB,18.97,33.17,48.54,7.5,18.53,18.97,33.54,48.54,7.5,18.59,False
CTLP,51.88,17.07,58.14,84.67,46.87,51.88,17.41,57.69,84.67,46.71,True
CTLT,5.56,33.33,7.69,80.49,27.83,5.56,34.17,7.69,80.49,27.97,False
CTO,35.92,54.98,,72.11,43.56,35.92,54.65,,72.11,43.44,False
CTOS,,,,,,,,,,,True
CTRA,87.2,74.0,97.62,57.41,77.07,87.2,78.0,97.62,57.41,77.91,False
CTRE,37.14,67.72,75.53,79.59,60.6,37.14,68.93,54.64,79.59,54.5,True
CTS,67.44,76.51,21.15,23.21,38.77,67.44,78.33,21.67,23.21,39.38,True
CTSH,84.99,28.85,14.03,64.05,33.55,84.99,30.6,12.67,64.05,33.21,False
CTT,72.09,64.5,,34.69,62.01,72.09,64.02,,34.69,61.83,False
CTVA,,,,,,,,,,,False
CTXS,60.04,81.82,,44.98,62.95,60.04,83.15,,44.98,63.46,False
CUBE,40.94,72.07,57.1,47.62,52.86,40.94,72.06,48.81,47.62,50.31,True
CUK,68.09,30.18,94.94,79.66,68.75,68.09,30.43,97.17,79.66,69.57,True
CURV,51.55,51.33,20.91,23.68,23.88,51.55,53.39,20.91,23.68,24.29,True
CUZ,26.73,36.87,43.02,94.56,40.72,26.73,35.13,44.97,94.56,40.87,True
CVA,,,,,,,,,,,False
CVAC,26.9,1.65,,45.94,18.5,26.9,1.65,,45.94,18.5,False
CVCO,,,,,,,,,,,False
CVEO,36.74,46.41,16.28,45.28,24.71,36.74,45.12,16.28,45.28,24.39,False
CVGW,29.71,13.98,9.13,38.71,12.97,29.71,13.98,8.71,38.71,12.89,False
CVI,,,,,,,,,,,False
CVLG,61.5,33.97,60.02,57.69,43.44,61.5,36.22,63.47,57.69,45.04,True
CVLT,29.77,82.04,51.58,78.1,56.89,29.77,84.93,18.55,78.1,40.82,True
CVNA,4.24,17.81,69.92,98.68,51.84,4.24,18.5,72.15,98.68,52.75,False
CVS,,,,,,,,,,,False
CVT,19.26,54.64,51.13,44.98,46.91,19.26,44.21,51.58,44.98,45.11,True
CVX,,,,,,,,,,,False
CW,,,,,,,,,,,False
CWAN,40.07,60.75,76.92,43.89,60.73,40.07,62.66,76.47,43.89,60.87,True
CWCO,5.19,71.11,,44.9,29.17,5.19,68.89,,44.9,28.27,False
CWEN,92.55,64.44,60.98,85.71,71.06,92.55,62.22,63.41,85.71,70.99,True
CWH,95.6,62.07,,58.62,66.25,95.6,62.93,,58.62,66.51,False
CWK,,,,,,,,,,,True
CWT,81.46,17.78,82.93,10.2,48.64,81.46,15.56,85.37,10.2,48.57,False
CXM,75.9,49.11,54.3,45.44,48.39,75.9,39.76,76.02,45.44,57.51,True
CXP,61.33,50.29,,34.69,52.07,61.33,49.5,,34.69,51.78,False
CXW,,,,,,,,,,,True
CYH,36.36,43.97,40.69,29.03,27.21,36.36,43.97,39.58,29.03,26.83,False
CYRX,28.03,8.97,100.0,86.54,46.41,28.03,10.26,100.0,86.54,46.73,False
CYTK,7.86,15.66,9.15,40.28,9.75,7.86,13.73,9.86,40.28,9.84,True
CZR,41.0,38.15,39.01,10.17,29.57,41.0,36.99,40.81,10.17,29.95,True
D,34.87,26.67,36.59,48.98,33.82,34.87,24.44,36.59,48.98,33.14,False
DAC,62.82,83.33,,73.08,67.24,62.82,84.62,,73.08,67.69,False
DADA,0.0,3.36,,80.26,22.03,0.0,4.06,,80.26,22.24,False
DAKT,73.36,30.16,83.87,44.93,50.12,73.36,30.64,85.48,44.93,50.72,True
DAL,,,,,,,,,,,False
DAN,32.86,17.24,11.48,91.38,32.55,32.86,18.1,10.18,91.38,32.28,False
DAR,58.99,34.0,27.65,15.04,31.96,58.99,33.39,30.07,15.04,32.53,False
DASH,26.41,45.89,85.97,93.8,71.74,26.41,44.11,85.52,93.8,71.17,True
DAVA,31.88,7.09,19.91,2.55,5.64,31.88,7.09,17.19,2.55,4.27,False
DAWN,31.66,80.17,,48.07,45.74,31.66,80.17,,48.07,45.74,False
DBD,44.33,15.63,,83.76,37.78,44.33,17.05,,83.76,38.34,False
DBDR,,,,,,,,,,,False
DBRG,42.31,39.1,18.06,8.84,23.15,42.31,56.8,20.01,8.84,28.27,True
DBX,82.87,93.12,22.17,50.0,46.14,82.87,92.94,20.81,50.0,45.42,False
DC,0.0,27.99,,82.26,25.86,0.0,27.99,,82.26,25.86,False
DCI,55.85,69.45,49.5,44.25,52.92,55.85,70.06,48.51,44.25,52.77,True
DCO,66.98,38.14,39.06,55.26,42.58,66.98,38.14,46.39,55.26,44.78,False
DCP,15.28,94.74,,28.29,39.91,15.28,92.11,,28.29,39.24,False
DCPH,13.88,86.78,61.27,26.13,43.16,13.88,86.78,61.97,26.13,43.54,True
DCT,5.88,28.04,72.85,44.98,51.1,5.88,29.65,71.95,44.98,50.96,False
DCTH,6.95,33.04,100.0,95.0,55.46,6.95,32.77,100.0,95.0,55.41,True
DDOG,10.13,87.18,84.62,30.84,65.19,10.13,87.57,84.62,30.84,65.26,True
DE,,,,,,,,,,,False
DEA,,,,,,,,,,,False
DECK,59.0,95.94,77.64,21.05,61.51,59.0,87.69,84.04,21.05,62.07,True
DEI,,,,,,,,,,,True
DELL,58.98,52.31,31.55,14.49,38.88,58.98,52.78,33.1,14.49,39.47,False
DEN,23.29,30.0,100.0,62.58,47.42,23.29,34.0,100.0,62.58,48.26,False
DESP,0.0,27.06,,84.75,35.63,0.0,25.25,,84.75,35.07,False
DFH,,,,,,,,,,,False
DFIN,77.29,62.82,15.23,16.22,33.85,77.29,62.82,12.03,16.22,32.72,False
DG,66.23,75.27,22.42,22.58,50.39,66.23,73.12,23.32,22.58,49.91,True
DGII,73.4,69.35,65.38,77.42,60.79,73.4,68.28,65.38,77.42,60.52,False
DGX,76.0,49.34,17.89,81.67,52.07,76.0,50.37,18.64,81.67,52.49,True
DH,60.75,76.35,28.05,19.34,29.67,60.75,78.63,28.05,19.34,30.12,True
DHI,,,,,,,,,,,False
DHIL,45.23,60.28,21.88,45.65,34.72,45.23,60.33,24.89,45.65,35.8,False
