ticker,altman_z_base,altman_z_swap,piotroski_f_base,piotroski_f_swap,potential_score_sf,in_sample,dec_sf
MELI,3.21,2.33,5,5,75.34,True,10
PCOR,4.73,4.73,6,6,60.62,True,9
AMAT,7.12,7.12,4,4,61.55,True,9
CCRN,8.54,8.54,3,3,18.12,True,1
RKLB,2.47,2.47,5,5,49.35,True,5
CAKE,0.49,0.49,6,7,62.05,True,9
LQDT,4.24,4.24,4,4,59.45,True,8
BRX,2.03,1.62,5,5,56.53,True,7
FRT,1.38,2.42,6,6,51.5,True,6
ELAN,3.83,3.83,7,7,51.6,True,6
ZS,1.42,1.42,6,6,80.37,True,10
WMS,5.24,5.14,5,4,50.53,True,6
NTGR,8.07,8.07,5,5,46.71,True,5
RES,11.25,11.68,3,3,43.19,True,4
TGI,2.39,2.55,6,7,46.46,True,5
AVT,5.68,5.68,4,4,54.72,True,7
CRVL,7.26,7.67,6,6,46.49,True,5
EGP,5.25,5.2,6,5,47.42,True,5
AGL,1.34,1.34,4,4,27.09,True,2
GLW,3.26,3.26,7,7,34.88,True,3
CUBE,2.58,2.62,5,5,52.86,True,6
DCTH,19.38,19.38,6,6,55.46,True,7
PII,1.72,1.72,4,4,22.59,True,1
HUBB,5.69,5.69,7,7,67.23,True,10
DAKT,6.12,6.12,6,6,50.12,True,5
GCMG,0.11,1.5,6,6,49.0,True,5
SN,4.97,4.97,8,8,67.95,True,10
SEAT,1.37,1.37,5,5,60.07,True,8
SYK,4.42,4.42,7,7,57.79,True,8
ABT,5.03,5.03,6,6,47.51,True,5
ARRY,3.99,3.99,4,4,42.58,True,4
THR,6.32,6.38,7,8,51.55,True,6
CLDX,26.67,26.67,4,4,53.04,True,6
CALX,10.05,10.05,4,4,60.46,True,9
ELS,-2.01,1.37,7,7,40.4,True,3
CPRI,2.5,2.38,7,7,65.93,True,9
PSTG,2.79,4.49,7,7,43.2,True,4
TPG,4.03,9.39,5,5,44.84,True,4
KNX,3.87,3.87,6,6,35.02,True,3
VSCO,1.33,1.33,8,8,56.47,True,7
WEAV,2.09,2.09,6,6,41.3,True,3
GEL,1.99,1.99,6,6,23.14,True,1
IPAR,8.29,8.29,8,8,68.9,True,10
LZB,6.06,6.06,5,5,51.49,True,6
BSY,1.37,1.37,6,6,51.96,True,6
IRMD,19.54,19.54,7,7,64.25,True,9
NRC,2.08,2.08,4,4,15.56,True,1
EXP,4.57,4.57,4,4,53.06,True,6
EXR,2.63,2.89,7,7,51.84,True,6
CRDO,20.53,20.53,4,4,57.03,True,8
APOG,3.86,4.05,5,5,31.98,True,2
OC,3.35,3.35,5,5,57.45,True,8
APH,5.19,5.19,5,5,61.09,True,9
FI,2.41,2.41,8,8,54.63,True,7
HLT,-0.58,-0.58,6,6,46.43,True,5
LRCX,6.61,6.97,5,5,60.17,True,8
TBLA,4.52,4.52,8,8,47.39,True,5
UFPI,11.07,11.07,5,5,37.38,True,3
ZETA,6.02,5.88,5,5,54.17,True,7
CNX,2.26,2.26,4,4,51.5,True,6
BDC,3.71,3.71,4,4,47.6,True,5
AORT,4.0,4.0,5,5,43.71,True,4
SLCA,4.39,4.39,8,8,63.62,True,9
RPAY,3.75,3.65,7,6,27.14,True,2
TDW,5.07,5.07,8,8,51.2,True,6
BLKB,-0.14,-0.14,6,6,25.18,True,1
RPD,0.81,0.81,7,7,32.94,True,2
ETSY,1.32,1.57,6,6,53.45,True,7
SFM,4.12,4.12,7,7,67.18,True,10
ALE,3.44,3.44,6,6,42.97,True,4
MASI,4.08,4.08,3,3,65.97,True,9
BYD,2.17,2.17,6,6,65.93,True,9
EAT,-0.2,-0.2,8,8,60.93,True,9
MLAB,1.02,3.09,6,6,40.33,True,3
NEE,1.43,1.43,3,3,31.62,True,2
ACAD,7.44,7.44,3,3,54.48,True,7
ITGR,4.56,4.54,8,8,51.39,True,6
NX,3.56,3.56,4,4,29.9,True,2
LAD,2.8,2.93,3,3,66.62,True,10
MCFT,5.58,5.58,5,5,30.48,True,2
SNDR,5.29,5.29,3,3,39.54,True,3
GES,2.47,2.58,5,5,34.5,True,2
GO,3.34,3.34,6,6,33.13,True,2
PAG,2.34,2.34,8,8,67.73,True,10
KRC,2.75,2.8,7,7,48.6,True,5
NVDA,14.01,15.67,7,7,75.21,True,10
UBA,4.35,4.27,5,5,48.88,True,5
OGN,1.74,1.74,5,5,37.25,True,3
RRR,1.24,1.24,5,5,50.66,True,6
INGR,5.76,5.76,7,7,63.05,True,9
APAM,5.71,6.61,6,7,50.92,True,6
OIS,7.11,7.11,6,6,57.38,True,8
APPS,0.59,0.48,5,4,15.42,True,1
PAGP,3.09,3.09,5,5,54.5,True,7
ENPH,4.83,4.83,5,5,37.25,True,3
LSCC,12.78,12.78,3,3,43.03,True,4
CTAS,5.07,5.07,7,7,56.88,True,8
HURN,3.39,3.39,6,6,67.55,True,10
MXL,3.48,3.48,2,2,0.91,True,1
FORM,13.03,12.56,7,7,20.25,True,1
NTAP,1.88,1.88,6,6,59.28,True,8
SXI,7.1,7.1,5,5,25.92,True,1
NUS,3.75,3.75,5,5,23.5,True,1
PLAB,14.26,14.26,5,5,48.9,True,5
CAG,2.66,2.66,8,8,51.19,True,6
RBBN,2.69,2.69,6,6,29.02,True,2
OSIS,4.17,4.17,4,4,58.93,True,8
MATX,7.1,5.69,7,7,50.29,True,5
KR,1.18,1.18,7,7,51.01,True,6
CL,1.83,1.83,8,8,61.85,True,9
KLAC,5.12,4.89,4,4,70.3,True,10
OSW,7.07,7.07,8,8,54.6,True,7
ITCI,14.87,13.31,4,4,62.03,True,9
WWD,4.79,4.79,6,6,61.15,True,9
HWM,4.58,4.58,8,8,57.77,True,8
PAYC,2.5,2.47,4,4,67.64,True,10
USAC,0.88,0.88,8,8,55.22,True,7
WDAY,4.76,5.01,5,5,58.02,True,8
ABCL,18.7,18.7,3,3,20.01,True,1
CSGS,2.68,2.77,6,6,37.83,True,3
FUN,-0.91,-0.67,4,4,50.36,True,6
ARMK,1.08,1.08,6,6,53.18,True,7
WPC,3.11,2.85,5,5,46.87,True,5
PRVA,5.89,5.89,5,5,36.55,True,3
LAND,0.32,3.63,4,5,25.88,True,1
SSP,2.02,2.02,7,7,42.25,True,4
TARS,6.14,6.14,4,4,66.92,True,10
EBAY,2.69,2.69,6,6,57.85,True,8
ALKT,12.24,12.24,6,6,47.22,True,5
DORM,6.09,6.03,6,7,60.25,True,8
SQSP,-1.78,-1.78,4,4,52.1,True,6
HUBS,5.51,4.34,7,6,60.39,True,8
HT,2.8,4.3,6,6,43.88,True,4
MGEE,3.53,3.53,6,6,45.89,True,4
ENV,1.32,1.32,4,4,26.51,True,2
RPRX,4.33,4.33,5,5,38.61,True,3
BKR,3.71,3.71,8,8,45.78,True,4
VC,4.99,4.99,6,6,54.01,True,7
TWLO,8.96,8.96,6,6,40.66,True,3
GNRC,4.57,4.91,7,7,45.1,True,4
BLBD,4.37,4.37,7,7,52.01,True,6
PTLO,2.09,2.09,6,6,40.39,True,3
NWPX,7.25,8.14,8,8,56.42,True,7
PEB,2.52,2.99,8,8,42.98,True,4
ROP,3.64,3.64,5,5,56.73,True,8
TTEK,3.64,3.64,8,8,54.96,True,7
ISRG,15.54,15.54,5,5,57.93,True,8
CUK,0.25,0.25,7,7,68.75,True,10
SPR,-3.18,-3.18,2,2,27.29,True,2
MPLN,0.14,0.14,4,4,23.16,True,1
IMCR,3.2,5.99,4,4,51.69,True,6
SM,3.39,3.39,4,4,32.14,True,2
DECK,12.05,12.11,7,6,61.51,True,9
FICO,1.73,1.73,7,7,49.47,True,5
KNSA,9.24,9.12,4,4,49.8,True,5
MLNK,2.92,2.92,7,7,22.53,True,1
NXST,2.23,2.21,8,8,59.62,True,8
AUPH,10.62,10.62,6,6,48.52,True,5
FSLR,6.06,7.81,6,6,60.53,True,9
CMCSA,1.98,1.98,7,7,58.75,True,8
ORCL,0.1,0.64,5,5,49.03,True,5
TCPC,9.01,9.02,7,7,60.19,True,8
BRKR,2.75,2.75,3,3,31.0,True,2
AMRX,1.67,1.48,6,6,53.15,True,6
MRUS,11.42,11.42,4,4,24.78,True,1
FROG,6.17,6.17,4,4,65.89,True,9
GXO,1.32,1.32,4,4,42.47,True,4
NEWR,0.95,3.25,5,5,51.21,True,6
NVTS,19.65,19.65,5,5,57.1,True,8
FHI,6.67,6.67,7,7,62.82,True,9
UNVR,4.03,4.03,6,6,69.55,True,10
BXC,6.72,6.72,5,5,17.14,True,1
HPE,2.7,2.7,5,5,50.05,True,5
REXR,1.83,4.75,4,5,41.58,True,4
