ticker,altman_z_base,altman_z_swap,piotroski_f_base,piotroski_f_swap,potential_score_sf,in_sample,dec_sf
BRMK,16.92,17.48,4,4,40.76,True,3
EYE,1.38,1.38,5,5,36.41,True,3
INTA,3.28,2.64,6,5,58.24,True,8
OM,2.65,2.73,5,5,0.0,True,1
MOH,4.15,4.15,5,5,64.24,True,9
EDR,2.26,2.26,4,4,51.58,True,6
NNOX,14.8,14.8,5,5,18.22,True,1
PBI,-0.79,-0.79,5,5,38.73,True,3
FLUT,3.5,2.72,9,9,51.38,True,6
AN,2.31,2.31,6,6,74.69,True,10
FOX,5.15,4.9,6,6,57.17,True,8
NWE,2.22,2.22,4,4,60.4,True,8
AVDX,2.52,2.52,8,8,42.72,True,4
AGX,5.22,7.06,6,6,70.31,True,10
SBAC,-0.84,-0.84,7,7,54.06,True,7
VCTR,3.54,3.72,7,7,57.29,True,8
NRIX,11.33,11.33,3,3,37.56,True,3
SMWB,-0.51,-0.7,6,6,43.52,True,4
ICFI,3.42,3.42,8,8,41.88,True,4
RXST,19.5,19.03,4,4,30.7,True,2
RCL,0.26,0.26,7,7,69.26,True,10
INVA,6.64,5.26,7,6,42.01,True,4
PAYA,3.32,3.32,5,5,50.65,True,6
VRNS,2.47,1.42,4,4,41.87,True,4
FIGS,11.32,10.6,4,4,49.61,True,5
RMBS,22.6,21.51,6,6,67.16,True,10
PLYM,2.11,2.11,7,7,39.6,True,3
FORG,7.67,7.67,4,4,57.53,True,8
MPLX,2.93,2.92,7,7,60.64,True,9
BRP,1.42,1.41,7,7,38.11,True,3
TMDX,5.25,5.23,6,6,51.23,True,6
AMPH,4.88,4.88,7,7,62.25,True,9
BSX,3.77,3.77,5,5,61.04,True,9
GOOG,8.53,8.53,7,7,54.58,True,7
MDLZ,2.09,2.09,8,8,59.09,True,8
SATL,-8.34,-9.7,4,4,45.3,True,4
SEMR,7.54,7.54,5,5,43.86,True,4
CDMO,1.1,1.1,5,4,22.18,True,1
TNET,1.0,0.86,5,6,41.26,True,3
LIVN,5.35,5.35,6,6,51.34,True,6
VSEC,6.01,6.1,5,5,40.81,True,3
NXPI,4.41,4.42,5,5,61.4,True,9
BROS,3.51,3.51,6,6,63.22,True,9
EVCM,3.63,3.63,7,7,21.18,True,1
CVLG,2.92,2.92,6,6,43.44,True,4
EME,4.21,4.21,6,6,64.67,True,9
JFIN,8.13,-16.88,3,3,69.01,True,10
XNCR,12.52,12.52,2,2,25.82,True,1
ITI,5.21,5.67,7,7,44.36,True,4
ECL,3.17,3.17,7,7,55.11,True,7
EXPE,-0.09,-0.09,8,8,64.9,True,9
GNTX,16.2,16.2,5,5,45.71,True,4
MIRM,3.37,3.37,7,7,54.18,True,7
ROST,4.48,4.48,6,6,58.4,True,8
UPWK,6.39,6.39,6,6,64.85,True,9
HROW,2.62,2.62,5,5,50.34,True,6
TROX,3.11,3.11,6,6,8.72,True,1
ALSN,4.0,4.14,7,7,67.4,True,10
PGY,3.48,3.1,5,5,50.75,True,6
FCX,5.5,5.5,6,6,48.16,True,5
CWAN,13.46,13.46,5,5,60.73,True,9
KOS,1.52,1.52,3,3,25.41,True,1
WMT,2.21,2.33,7,8,42.0,True,4
JOUT,10.91,10.91,4,4,7.44,True,1
AXSM,0.43,0.43,4,4,69.46,True,10
HSAI,7.38,-5.27,5,5,51.35,True,6
CEVA,16.12,15.76,6,6,19.38,True,1
AMED,4.72,4.21,7,7,32.28,True,2
TT,3.52,3.52,8,8,61.15,True,9
ITOS,19.57,19.15,2,2,12.54,True,1
CSX,2.33,2.33,4,4,56.53,True,7
TRMB,4.54,4.54,6,6,45.52,True,4
CVLT,3.81,4.31,5,5,56.89,True,8
GPRE,2.85,2.94,4,4,0.0,True,1
VEC,2.1,2.1,7,7,64.12,True,9
AHCO,2.5,2.45,8,8,47.67,True,5
CYTK,-1.44,1.29,5,5,9.75,True,1
DLB,11.28,11.07,5,5,44.66,True,4
GRPN,0.45,0.45,6,6,31.62,True,2
CWEN,2.09,2.26,6,6,71.06,True,10
TEL,4.77,4.95,6,6,52.83,True,6
ZBRA,3.69,3.69,7,7,31.4,True,2
ATMU,4.45,4.45,5,5,55.75,True,7
LUMN,-0.42,0.31,4,4,37.76,True,3
MMS,3.87,3.87,8,8,45.59,True,4
CHD,4.46,4.46,7,7,49.81,True,5
TXRH,3.6,3.6,7,7,56.0,True,7
FDP,6.3,6.3,8,8,45.45,True,4
HUYA,9.79,-1.86,6,6,5.5,True,1
VRTS,-1.72,2.52,2,1,31.38,True,2
QURE,-3.32,1.75,5,6,14.22,True,1
FN,10.52,10.52,6,6,48.13,True,5
WRBY,5.98,5.98,5,5,44.14,True,4
DXCM,3.47,3.47,6,6,45.32,True,4
OKTA,5.48,5.85,8,7,63.68,True,9
LYTS,5.78,5.78,5,5,54.21,True,7
INTC,3.26,3.26,4,4,24.08,True,1
HUBG,4.79,4.79,5,5,37.04,True,3
AEE,1.54,1.54,5,5,60.85,True,9
HPK,3.53,3.53,4,4,28.24,True,2
UBER,2.97,2.97,4,4,54.77,True,7
FTK,7.22,6.79,5,5,52.27,True,6
WIRE,19.4,19.4,4,4,56.14,True,7
CTRE,11.22,11.22,6,6,60.6,True,9
GDYN,16.69,16.69,5,5,19.43,True,1
HTZ,-5.48,-0.68,5,5,47.29,True,5
SGFY,4.15,4.15,4,4,65.76,True,9
LYV,0.71,0.71,7,7,61.71,True,9
PRIM,2.99,2.99,7,7,67.35,True,10
CROX,3.81,3.81,6,6,63.92,True,9
SNDL,10.37,10.37,4,4,34.11,True,2
CURV,-0.83,-1.35,7,7,23.88,True,1
GBX,2.68,4.78,6,7,57.01,True,8
NET,4.28,4.18,6,6,73.7,True,10
NTES,9.26,-3.03,6,6,42.59,True,4
CPRX,14.53,14.53,5,5,60.25,True,8
BRBR,5.15,5.15,6,6,60.98,True,9
NSC,2.44,2.44,6,6,58.31,True,8
ASPN,7.34,7.29,7,7,33.22,True,2
FA,1.93,1.93,2,2,37.05,True,3
BPMC,4.16,4.16,2,2,58.65,True,8
AR,3.95,3.95,4,4,41.28,True,3
ATO,3.32,3.32,6,6,68.27,True,10
BFLY,7.57,7.57,5,5,32.43,True,2
NKE,5.67,5.67,6,6,53.31,True,7
EPRT,3.97,4.0,5,4,56.68,True,7
SOI,5.08,5.08,5,5,32.97,True,2
IBRX,-17.22,-17.3,4,4,56.29,True,7
CCL,0.25,0.25,7,7,75.96,True,10
FOUR,1.94,1.94,5,5,66.89,True,10
YEXT,0.29,1.26,2,2,30.26,True,2
RBA,3.96,3.61,7,6,63.19,True,9
DVN,3.79,3.79,3,3,41.49,True,3
DOMO,-8.51,-8.5,2,2,22.74,True,1
OSG,1.99,3.3,7,7,47.22,True,5
MP,4.27,4.51,3,3,24.97,True,1
TRIN,-0.82,2.57,2,3,57.07,True,8
METC,4.07,4.07,5,5,39.21,True,3
ENSG,4.56,4.56,7,7,62.04,True,9
