ticker,acceptedDate,bottomLineNetIncome,cik,costAndExpenses,costOfRevenue,date,depreciationAndAmortization,ebit,ebitda,eps,epsDiluted,filingDate,fiscalYear,generalAndAdministrativeExpenses,grossProfit,incomeBeforeTax,incomeTaxExpense,interestExpense,interestIncome,netIncome,netIncomeDeductions,netIncomeFromContinuingOperations,netIncomeFromDiscontinuedOperations,netInterestIncome,nonOperatingIncomeExcludingInterest,operatingExpenses,operatingIncome,otherAdjustmentsToNetIncome,otherExpenses,period,reportedCurrency,researchAndDevelopmentExpenses,revenue,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,totalOtherIncomeExpensesNet,weightedAverageShsOut,weightedAverageShsOutDil
AAWW,2023-02-23 08:20:55,355880000,0001135185,3997651000,3551815000,2022-12-31,392138000,530645000,914532000,12.5,10.53,2023-02-23,2022,211902000,997289000,461636000,105756000,69009000,8755000,355880000,0,355880000,0,-60254000,-8251000,445836000,522394000,0,233934000,FY,USD,0,4549104000,0,211902000,-60758000,34190000,34190000
AAWW,2022-02-17 13:21:18,493317000,0001135185,3319328000,2911881000,2021-12-31,398965000,746567000,1110259000,17.06,16.16,2022-02-17,2021,162986000,1118948000,647391000,154074000,99176000,723000,493317000,0,493317000,0,-98453000,-35273000,407447000,711294000,0,244461000,FY,USD,0,4030829000,0,162986000,-63903000,30543000,30543000
AAWW,2021-02-18 12:18:47,360286000,0001135185,2704551000,2333375000,2020-12-31,328101000,610452000,1021484000,13.64,13.5,2021-02-18,2020,154792000,877741000,496742000,136456000,113710000,1076000,360286000,0,360286000,0,-112634000,-115684000,371176000,693383000,0,216384000,FY,USD,0,3211116000,0,154792000,1974000,26408000,26690000
AAWW,2020-02-24 16:32:45,-293113000,0001135185,2552314000,2147582000,2019-12-31,316821000,-354702000,535660000,-11.35,-11.35,2020-02-24,2019,189211000,591607000,-472758000,-179645000,118056000,4296000,-293113000,0,-293113000,0,-113760000,-106269000,404732000,218839000,0,215521000,FY,USD,0,2739189000,0,189211000,-11787000,25828000,25828000
AAWW,2019-02-19 12:32:10,270567000,0001135185,2382697000,2020657000,2018-12-31,265553000,424025000,689498000,9.57,9.57,2019-02-19,2018,166487000,657067000,309374000,38727000,114651000,6710000,270567000,0,270567000,0,-107941000,-140483000,362040000,283542000,0,195553000,FY,USD,0,2677724000,0,166487000,25832000,28281000,28281000
ABG,2026-02-20 16:54:44,492000000,0001144980,16997300000,14927300000,2025-12-31,82400000,940900000,1023300000,25.23,25.13,2026-02-20,2025,1918700000,3071700000,662200000,170200000,278700000,0,492000000,0,492000000,0,-278700000,60800000,2070000000,1001700000,0,82400000,FY,USD,0,17999000000,68900000,1987600000,-339500000,19400000,19500000
ABG,2025-02-26 16:20:56,430300000,0001144980,16353000000,14239900000,2024-12-31,75000000,844300000,919300000,21.58,21.5,2025-02-26,2024,1826800000,2948600000,575300000,145000000,269000000,0,430300000,0,430300000,0,-269000000,-8700000,2113100000,835600000,0,224500000,FY,USD,0,17188600000,61800000,1888600000,-260300000,19900000,20000000
ABG,2024-02-29 17:30:44,602500000,0001144980,13849200000,12046900000,2023-12-31,67700000,967000000,1034700000,28.83,28.69,2024-02-29,2023,1569900000,2755800000,801300000,198800000,165700000,0,602500000,0,602500000,0,-165700000,-13500000,1802300000,953500000,0,184900000,FY,USD,0,14802700000,47500000,1617400000,-152200000,20900000,21000000
ABG,2023-03-01 16:21:50,997300000,0001144980,14161300000,12333300000,2022-12-31,69000000,1479700000,1548700000,44.72,44.52,2023-03-01,2022,1423600000,3100600000,1319100000,321800000,160600000,0,997300000,0,997300000,0,-160600000,-207100000,1828000000,1272600000,0,64600000,FY,USD,0,15433900000,339900000,1763400000,46500000,22300000,22400000
ABG,2022-03-01 16:09:34,532400000,0001144980,9045900000,7935500000,2021-12-31,41900000,799800000,841700000,26.75,26.49,2022-03-01,2021,852400000,1902200000,697700000,165300000,102100000,0,532400000,0,532400000,0,-102100000,-8000000,1110400000,791800000,0,36500000,FY,USD,0,9837700000,221500000,1073900000,-94100000,19900000,20100000
