ticker,acceptedDate,bottomLineNetIncome,cik,costAndExpenses,costOfRevenue,date,depreciationAndAmortization,ebit,ebitda,eps,epsDiluted,filingDate,fiscalYear,generalAndAdministrativeExpenses,grossProfit,incomeBeforeTax,incomeTaxExpense,interestExpense,interestIncome,netIncome,netIncomeDeductions,netIncomeFromContinuingOperations,netIncomeFromDiscontinuedOperations,netInterestIncome,nonOperatingIncomeExcludingInterest,operatingExpenses,operatingIncome,otherAdjustmentsToNetIncome,otherExpenses,period,reportedCurrency,researchAndDevelopmentExpenses,revenue,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,totalOtherIncomeExpensesNet,weightedAverageShsOut,weightedAverageShsOutDil
ACAD,2026-02-25 16:20:21,391000000,0001070494,966694000,88998000,2025-12-31,11760000,138904000,150664000,2.32,2.29,2026-02-25,2025,0,982507000,138904000,-252096000,0,31722000,391000000,0,391000000,0,31722000,-34093000,877696000,104811000,0,0,FY,USD,328802000,1071505000,0,548894000,34093000,169335000,171359000
ACAD,2025-02-27 17:26:09,226451000,0001070494,727003000,81841000,2024-12-31,15883000,84279000,100162000,1.37,1.36,2025-02-27,2024,0,875956000,258075000,31624000,0,25458000,226451000,0,226451000,0,25458000,146515000,645162000,230794000,0,-146515000,FY,USD,303249000,957797000,0,488428000,27281000,165717000,166362000
ACAD,2023-12-30 19:00:00,-61286000,0001070494,799816000,45731000,2023-12-31,5552000,-51036000,-45484000,-0.37,-0.37,2023-12-31,2023,393066000,680706000,-51036000,10250000,0,17234000,-61286000,0,-61286000,0,17234000,-22343000,754085000,-73379000,0,0,FY,USD,351619000,726437000,9400000,402466000,22343000,163819000,163819000
ACAD,2023-02-27 18:38:37,-215975000,0001070494,740831000,10166000,2022-12-31,2026000,-213444000,-211418000,-1.34,-1.34,2023-02-28,2022,0,507069000,-213444000,2531000,0,6610000,-215975000,0,-215975000,0,6610000,-10152000,730665000,-223596000,0,0,FY,USD,361575000,517235000,0,369090000,10152000,161683000,161683000
ACAD,2022-03-01 06:03:15,-167870000,0001070494,654584000,19141000,2021-12-31,3344000,-167519000,-164175000,-1.05,-1.05,2022-03-01,2021,396028000,465004000,-167519000,351000,0,591000,-167870000,0,-167870000,0,591000,-2920000,635443000,-170439000,0,0,FY,USD,239415000,484145000,0,396028000,2920000,160493000,160493000
ACLS,2026-02-26 15:48:26,120238000,0001113232,719733000,462200000,2025-12-31,17613000,143613000,161226000,3.81,3.8,2026-02-26,2025,83207000,376848000,138249000,18011000,5364000,21484000,120238000,0,120238000,0,16120000,-24298000,257533000,119315000,0,0,FY,USD,108958000,839048000,65368000,148575000,18934000,31574000,31668000
ACLS,2025-02-27 19:30:17,200992000,0001113232,807071000,563211000,2024-12-31,15809000,235736000,251545000,6.17,6.15,2025-02-28,2024,70317000,454654000,230274000,29282000,5462000,24403000,200992000,0,200992000,0,18941000,-24942000,243860000,210794000,0,0,FY,USD,105497000,1017865000,68046000,138363000,19480000,32552000,32704000
ACLS,2024-02-23 17:19:56,246263000,0001113232,864809000,639303000,2023-12-31,13069000,283946000,297015000,7.52,7.43,2024-02-23,2023,65794000,491301000,278599000,32336000,5347000,18199000,246263000,0,246263000,0,12852000,-18151000,225506000,265795000,0,0,FY,USD,96907000,1130604000,62805000,128599000,12804000,32758000,33165000
ACLS,2023-02-24 12:44:49,183079000,0001113232,707637000,518208000,2022-12-31,11607000,210461000,222068000,5.54,5.46,2023-02-24,2022,57474000,401790000,204885000,21806000,5576000,4551000,183079000,0,183079000,0,-1025000,1900000,189429000,212361000,0,0,FY,USD,78356000,919998000,53599000,111073000,-7476000,33043000,33542000
ACLS,2022-02-25 12:41:09,98650000,0001113232,535103000,375983000,2021-12-31,10818000,125263000,136081000,2.94,2.88,2022-02-25,2021,46141000,286445000,120428000,21778000,4835000,209000,98650000,0,98650000,0,-4626000,2062000,159120000,127325000,0,0,FY,USD,65431000,662428000,47548000,93689000,-6897000,33555000,34268000
ACN,2025-10-10 06:53:53,7685673000,0001467373,59447313000,47437576000,2025-08-31,2441594000,10498948000,12940542000,12.29,12.15,2025-10-10,2025,4350968000,22235401000,10270393000,2437993000,228555000,336324000,7678433000,-7240000,7832400000,0,107769000,-273284000,12009737000,10225664000,0,-201976000,FY,USD,817300000,69672977000,7043445000,11394413000,44729000,624891649,632435108
ACN,2024-10-10 06:43:59,7271985000,0001467373,55300617000,43734147000,2024-08-31,1077997000,9758292000,10836289000,11.57,11.44,2024-10-10,2024,4281316000,21162317000,9699323000,2280126000,58969000,272256000,7264787000,-7198000,7419197000,0,213287000,-162445000,11566470000,9595847000,0,438440000,FY,USD,0,64896464000,6846714000,11128030000,103476000,627853000,635940000
ACN,2023-10-12 06:54:36,6878761000,0001467373,55301856000,43380138000,2023-08-31,1061616000,9186857000,10248473000,10.9,10.77,2023-10-12,2023,4275943000,20731607000,9139332000,2135802000,47525000,280409000,6871557000,-7204000,7003530000,0,232884000,-376968000,11921718000,8809889000,0,1063146000,FY,USD,0,64111745000,6582629000,10858572000,329443000,630608186,638591616
ACN,2022-10-12 17:04:46,6884517000,0001467373,52227124000,41892766000,2022-08-31,1030645000,9243487000,10274132000,10.87,10.71,2022-10-12,2022,4225957000,19701539000,9196167000,2207207000,47320000,45133000,6877169000,-7348000,6988960000,0,-2187000,123694000,10334358000,9367181000,0,0,FY,USD,0,61594305000,6108401000,10334358000,-171014000,632762710,642839181
ACN,2021-10-15 06:54:29,5913348000,0001467373,42911860000,34169261000,2021-08-31,1891242000,7820608000,9711850000,9.31,9.16,2021-10-15,2021,3454362000,16364128000,7761116000,1770571000,59492000,33365000,5906809000,-6539000,5990545000,0,-26127000,-199079000,8742599000,7621529000,0,0,FY,USD,0,50533389000,5288237000,8742599000,139587000,634745073,645909042
ADMA,2026-02-25 17:16:08,146930000,0001368514,318730000,217408000,2025-12-31,8096000,189766000,197862000,0.62,0.6,2026-02-25,2025,0,292765000,182656000,35726000,7110000,1871000,146930000,0,146930000,0,-5239000,1677000,101322000,191443000,0,4980000,FY,USD,4762000,510173000,0,91580000,-8787000,238299024,244904640
ADMA,2025-03-18 16:12:08,197673000,0001368514,287471000,206901000,2024-12-31,8045000,139644000,147689000,0.85,0.81,2025-03-18,2024,0,219553000,125714000,-71959000,13930000,2097000,197673000,0,197673000,0,-11833000,-661000,80570000,138983000,0,4633000,FY,USD,1813000,426454000,0,74124000,-13269000,233084000,243342000
ADMA,2024-02-28 17:01:32,-28239000,0001368514,236583000,169273000,2023-12-31,8332000,-3212000,5120000,-0.13,-0.13,2024-02-28,2023,0,88942000,-28239000,0,25027000,1617000,-28239000,0,-28239000,0,-23410000,24844000,67310000,21632000,0,4990000,FY,USD,3300000,258215000,0,59020000,-49871000,223977315,223977315
ADMA,2023-03-23 17:16:08,-65904000,0001368514,193445000,118815000,2022-12-31,7113000,-46625000,-39512000,-0.43,-0.43,2023-03-23,2022,0,35265000,-65904000,0,19279373,44833,-65904000,0,-65904000,0,-19234000,7260000,74630000,-39365000,0,18558000,FY,USD,3614000,154080000,0,52458000,-26539000,197874895,197874895
ADMA,2022-03-24 17:16:37,-71648000,0001368514,139317000,79770000,2021-12-31,5496000,-58591000,-53095000,-0.61,-0.61,2022-03-24,2021,0,1173000,-71648000,0,13056834,34532,-71648000,0,-71648000,0,-13022000,217000,59547000,-58374000,0,13004000,FY,USD,3646000,80943000,0,42897000,-13274000,139578538,139578538
AGL,2026-02-25 16:12:09,-405347000,0001831097,6353652000,6121191000,2025-12-31,28594000,-397455000,-368861000,-24.5,-24.5,2026-02-25,2025,238536000,-188614999,-404096000,1251000,6641000,0,-405347000,0,-405347000,0,-6641000,-23621000,232461000,-421076000,0,-6075000,FY,USD,0,5932576000,0,238536000,16980000,16558760,16558760
AGL,2025-02-25 16:06:43,-260151000,0001831097,6352660000,6055689000,2024-12-31,24463000,-242649000,-218186000,-15.75,-15.75,2025-02-25,2024,268912000,4841000,-248826000,1451000,6177000,0,-260151000,0,-250277000,-9824000,-6177000,-49481000,296971000,-292130000,0,28059000,FY,USD,0,6060530000,0,268912000,43304000,16438640,16438640
AGL,2024-02-27 16:22:45,-262596000,0001831097,4548496000,4246693000,2023-12-31,20161000,-187804000,-167643000,-16,-16,2024-02-27,2023,285760000,69670000,-194462000,791000,6658000,0,-262596000,0,-195253000,-67550000,-6658000,-44329000,301803000,-232133000,0,16043000,FY,USD,0,4316363000,0,285760000,37671000,16356680,16356680
AGL,2023-03-01 16:16:52,-106553000,0001831097,2493598000,2276860000,2022-12-31,13772000,-86186000,-72414000,-6.5,-6.5,2023-03-01,2022,207789000,111360000,-90670000,1640000,4484000,0,-106553000,0,-92310000,-14554000,-4484000,-19192000,216738000,-105378000,0,8949000,FY,USD,0,2388220000,0,207789000,14708000,16326160,16326160
AGL,2022-03-03 16:48:39,-406487000,0001831097,1893736000,1455750000,2021-12-31,14670000,-376830000,-362160000,-27.25,-27.25,2022-03-03,2021,427502000,65744000,-382976000,886000,6146000,0,-406487000,0,-383862000,-22925000,-6146000,4588000,437986000,-372242000,0,10484000,FY,USD,0,1521494000,0,427502000,-10734000,14917240,14917240
AGNC,2026-02-23 16:13:41,1509000000,0001423689,-2606000000,0,2025-12-31,177000000,4518000000,4695000000,1.48,1.47,2026-02-23,2025,87000000,1912000000,1670000000,0,2848000000,3523000000,1670000000,0,1670000000,0,675000000,0,-2606000000,4518000000,0,-2693000000,FY,USD,0,1912000000,0,87000000,-2848000000,1020000000,1023700000
AGNC,2025-02-21 16:02:47,863000000,0001423689,995000000,0,2024-12-31,0,3794000000,3794000000,0.93,0.93,2025-02-21,2024,0,4876000000,863000000,0,2931000000,2949000000,863000000,-132000000,863000000,0,18000000,87000000,995000000,3881000000,0,995000000,FY,USD,0,4876000000,0,0,-3018000000,927956989,786000000
AGNC,2024-02-22 17:09:50,155000000,0001423689,-1582000000,0,2023-12-31,0,2442000000,2442000000,0.0517,0.05,2024-02-22,2023,0,1006000000,155000000,0,2287000000,2041000000,155000000,-123000000,155000000,0,-246000000,146000000,-1582000000,2588000000,0,-1582000000,FY,USD,0,1006000000,0,0,-2433000000,3100000000,619600000
AGNC,2023-02-24 18:07:39,-1190000000,0001423689,3869000000,0,2022-12-31,13000000,-565000000,-552000000,-2.41,-2.41,2023-02-27,2022,0,3304000000,-1190000000,0,625000000,1590000000,-1190000000,-105000000,-1190000000,0,965000000,0,3869000000,-565000000,0,3869000000,FY,USD,0,3304000000,0,0,-625000000,493459587,537000000
AGNC,2022-02-23 16:38:48,749000000,0001423689,1590000000,0,2021-12-31,369000000,824000000,1193000000,1.23,1.22,2022-02-23,2021,0,2414000000,749000000,0,75000000,1361000000,749000000,-100000000,749000000,0,1286000000,0,1590000000,824000000,0,1590000000,FY,USD,0,2414000000,0,0,-75000000,613934426,530000000
AGX,2026-03-26 16:16:07,137774000,0000100591,809905000,750928000,2026-01-31,2288000,160509000,162797000,10,9.73,2026-03-26,2026,0,193678000,160509000,22735000,0,11000000,137774000,0,137774000,0,11000000,-25808000,58977000,134701000,0,0,FY,USD,0,944606000,0,58977000,25808000,13895000,14182000
AGX,2025-03-27 16:16:32,85459000,0000100591,785984000,733190000,2025-01-31,5660000,111204000,116864000,6.35,6.15,2025-03-27,2025,0,140989000,111204000,25745000,0,21200000,85459000,0,85459000,0,21200000,-23009000,52794000,88195000,0,0,FY,USD,0,874179000,0,52794000,23009000,13448000,13906000
AGX,2024-04-11 16:16:39,32358000,0000100591,536875000,492499000,2024-01-31,2405000,48933000,51338000,2.42,2.39,2024-04-11,2024,0,80834000,48933000,16575000,0,0,32358000,0,32358000,0,0,-12475000,44376000,36458000,0,0,FY,USD,0,573333000,0,44376000,12475000,13365000,13548000
AGX,2023-04-17 16:08:00,33098000,0000100591,413371000,368679000,2023-01-31,3715000,46000000,49715000,2.35,2.33,2023-04-17,2023,0,86361000,46000000,11296000,0,0,33098000,0,34704000,0,0,-4331000,44692000,41669000,0,0,FY,USD,0,455040000,0,44692000,4331000,14083000,14176000
AGX,2022-04-13 16:57:39,38244000,0000100591,464860000,409638000,2022-01-31,4237000,52411000,56648000,2.43,2.4,2022-04-13,2022,0,99732000,47062000,11356000,10712000,0,38244000,0,35706000,0,-10712000,-7901000,55222000,44510000,0,7901000,FY,USD,0,509370000,0,47321000,2552000,15715000,15913000
ALKS,2026-02-25 09:31:15,241664000,0001520262,1221943000,196457000,2025-12-31,27165000,303727000,330892000,1.47,1.43,2026-02-25,2025,221511000,1279442000,291450000,49786000,12277000,45304000,241664000,0,241664000,0,33027000,-49771000,1025486000,253956000,0,0,FY,USD,323964000,1475899000,480011000,701522000,37494000,164703000,168743000
ALKS,2025-02-12 17:18:42,367070000,0001520262,1136996000,245331000,2024-12-31,28533000,466328000,494861000,2.22,2.17,2025-02-12,2024,199024000,1312301000,443750000,71612000,22578000,42450000,367070000,0,372138000,-5068000,19872000,-45692000,891665000,420636000,0,1101000,FY,USD,245326000,1557632000,446214000,645238000,23114000,165392000,169198000
ALKS,2024-02-21 16:01:54,355757000,0001520262,1249283000,253037000,2023-12-31,74927000,444551000,519478000,2.14,2.1,2024-02-21,2023,199597000,1410368000,421519000,-97638000,23032000,30854000,355757000,0,519157000,-163400000,7822000,-30429000,996246000,414122000,0,35689000,FY,USD,270806000,1663405000,490154000,689751000,7397000,166223000,169730000
ALKS,2023-02-16 16:49:03,-158267000,0001520262,1117884000,218068000,2022-12-31,77862000,-18088000,59774000,-0.97,-0.97,2023-02-16,2022,198540000,893727000,-31128000,2024000,13040000,7629000,-158267000,0,-33152000,-125115000,-5411000,11999000,899816000,-6089000,0,36363000,FY,USD,272702000,1111795000,392211000,590751000,-25039000,163742000,163742000
ALKS,2022-02-16 09:12:47,-48169000,0001520262,1076005000,197323000,2021-12-31,78652000,98946000,177598000,-0.3,-0.3,2022-02-16,2021,510710000,976428000,87727000,11326000,11219000,2408000,-48169000,0,76401000,-124570000,-8811000,-1200000,878682000,97746000,0,38148000,FY,USD,290924000,1173751000,38900000,549610000,-10019000,160942000,160942000
ALSN,2026-02-24 09:28:30,623000000,0001411207,2037000000,1554000000,2025-12-31,124000000,902000000,1026000000,7.42,7.33,2026-02-24,2025,0,1456000000,804000000,181000000,98000000,0,623000000,0,623000000,0,-98000000,71000000,483000000,973000000,0,0,FY,USD,174000000,3010000000,0,309000000,-169000000,84000000,85000000
ALSN,2025-02-13 09:00:22,731000000,0001411207,2233000000,1696000000,2024-12-31,121000000,986000000,1107000000,8.4,8.31,2025-02-13,2024,0,1529000000,897000000,166000000,89000000,0,731000000,0,731000000,0,-89000000,6000000,537000000,992000000,0,0,FY,USD,200000000,3225000000,0,337000000,-95000000,87000000,88000000
ALSN,2024-02-14 16:02:24,673000000,0001411207,2116000000,1565000000,2023-12-31,154000000,934000000,1088000000,7.48,7.4,2024-02-14,2023,0,1470000000,827000000,154000000,107000000,0,673000000,0,673000000,0,-107000000,-15000000,551000000,919000000,0,0,FY,USD,194000000,3035000000,0,357000000,-92000000,90000000,91000000
ALSN,2023-02-16 08:52:26,531000000,0001411207,1985000000,1472000000,2022-12-31,155000000,763000000,918000000,5.53,5.53,2023-02-16,2022,0,1297000000,645000000,114000000,118000000,0,531000000,0,531000000,0,-118000000,21000000,513000000,784000000,0,0,FY,USD,185000000,2769000000,0,328000000,-139000000,96000000,96000000
ALSN,2022-02-17 16:26:54,442000000,0001411207,1733000000,1257000000,2021-12-31,150000000,688000000,838000000,4.13,4.13,2022-02-17,2021,0,1145000000,572000000,130000000,116000000,0,442000000,0,442000000,0,-116000000,-19000000,476000000,669000000,0,0,FY,USD,171000000,2402000000,0,305000000,-97000000,107000000,107000000
ALTM,2025-02-27 16:22:17,103200000,0001977303,852400000,719200000,2024-12-31,124000000,155400000,279400000,0.0965,0.0906,2025-02-27,2024,0,288600000,210600000,78900000,0,20300000,103200000,0,131700000,0,20300000,0,133200000,155400000,0,0,FY,USD,6400000,1007800000,0,126800000,55200000,1069800000,1138700000
ALTM,2023-12-29 19:00:00,330100000,0001977303,413100000,344100000,2023-12-31,29600000,469400000,499000000,0.66,0.66,2023-12-31,2023,0,538400000,389000000,58900000,0,0,330100000,0,330100000,0,0,0,69000000,469400000,0,0,FY,USD,5800000,882500000,0,63200000,-80400000,502664839,503335200
ALTM,2023-06-29 20:00:00,273500000,0001977303,469800000,410700000,2022-12-31,27700000,343400000,371100000,1.07,0.91,2023-06-30,2022,55200000,402500000,335400000,61900000,0,0,273500000,0,273500000,0,0,0,59100000,343400000,0,0,FY,USD,3900000,813200000,0,55200000,-8000000,413350800,485049600
ALTM,2021-12-30 19:00:00,600000,0001977303,384900000,332000000,2021-12-31,25100000,24200000,49300000,0.0016,0.0014,2021-12-31,2021,49900000,88400000,23900000,23300000,300000,0,600000,0,600000,0,-300000,11300000,52900000,35500000,0,0,FY,USD,3000000,420400000,0,49900000,-11600000,372208200,443425800
ALTM,2020-12-30 19:00:00,-16300000,0001977303,288200000,251400000,2020-12-31,25000000,-21700000,3300000,-0.0463,-0.0463,2020-12-31,2020,44600000,36800000,-22000000,-5700000,300000,0,-16300000,0,-16300000,0,-300000,21700000,36800000,0,0,-11500000,FY,USD,3700000,288200000,0,44600000,-22000000,351757200,351757200
AMH,2026-02-20 15:51:59,451642000,0001562401,1414303000,1803354000,2025-12-31,504341000,698590000,1202931000,1.18,1.18,2026-02-20,2025,83006000,62815000,513392000,0,185198000,0,452974000,-12612000,513392000,0,-185198000,-246724000,-389051000,451866000,0,-472057000,FY,USD,0,1866169000,0,83006000,61526000,370556400,370906582
AMH,2025-02-21 14:39:06,397165000,0001562401,854386000,767396000,2024-12-31,473610000,400701000,874311000,1.08,1.08,2025-02-21,2024,79572000,961301000,468142000,0,165351000,0,412426000,0,468142000,0,-165351000,473610000,86990000,874311000,0,0,FY,USD,0,1728697000,7418000,86990000,-406169000,367454000,367990000
AMH,2024-02-23 14:57:34,365141000,0001562401,817347000,739732000,2023-12-31,453550000,352708000,806258000,1.01,1.01,2024-02-23,2023,70601000,883873000,432142000,0,140198000,0,380168000,0,432142000,0,-140198000,453550000,77615000,806258000,0,0,FY,USD,0,1623605000,7014000,77615000,-374116000,362024968,362477216
AMH,2023-02-24 14:15:52,250014000,0001562401,758998000,688241000,2022-12-31,423831000,307705000,731536000,0.72,0.71,2023-02-24,2022,64160000,802293000,310025000,0,134871000,0,273138000,0,310025000,0,-134871000,423831000,70757000,731536000,0,0,FY,USD,0,1490534000,6597000,70757000,-421511000,349290848,349787092
AMH,2022-02-25 15:01:40,134872000,0001562401,659263000,602819000,2021-12-31,368948000,271771000,640719000,0.42,0.41,2022-02-25,2021,52487000,701063000,210559000,0,114893000,0,189092000,0,210559000,0,-114893000,372848000,56444000,644619000,0,0,FY,USD,0,1303882000,3957000,56444000,-434060000,324245168,325518291
AMPH,2026-02-26 16:41:58,98094000,0001297184,579484000,363830000,2025-12-31,63201000,149105000,212306000,2.1,2.03,2026-02-26,2025,85925000,356057000,123624000,25530000,25481000,8679000,98094000,0,98094000,0,-16802000,-8702000,215654000,140403000,0,0,FY,USD,85844000,719887000,43885000,129810000,-16779000,46743000,48215000
AMPH,2025-03-03 16:16:15,159519000,0001297184,526548000,358112000,2024-12-31,57205000,220107000,277312000,3.29,3.06,2025-03-03,2024,56720000,373855000,189191000,29672000,30343000,10612000,159519000,0,159519000,0,-19731000,-14688000,168436000,205419000,0,0,FY,USD,73914000,731967000,37802000,94522000,-16228000,48429000,52058000
AMPH,2024-02-29 16:12:42,137545000,0001297184,447408000,293274000,2023-12-31,41777000,198517000,240294000,2.85,2.6,2024-02-29,2023,51540000,351121000,169378000,31833000,27158000,5459000,137545000,0,137545000,0,-21699000,-1530000,154134000,196987000,0,0,FY,USD,73741000,644395000,28853000,80393000,-27609000,48265000,53001000
AMPH,2023-03-01 16:11:36,91386000,0001297184,391490000,250127000,2022-12-31,28275000,117886000,146161000,1.88,1.74,2023-03-01,2022,45061000,248860000,114863000,23477000,1846000,1321000,91386000,0,91386000,0,-525000,-10389000,141363000,107497000,0,0,FY,USD,74771000,498987000,21531000,66592000,7366000,48551000,52427000
AMPH,2022-03-11 16:13:54,62116000,0001297184,367881000,238029000,2021-12-31,26533000,85024000,111557000,1.3,1.25,2022-03-11,2021,51434000,199739000,83931000,20630000,885000,601000,62116000,0,63301000,0,-284000,-15137000,129852000,69887000,0,0,FY,USD,60932000,437768000,17486000,68920000,14044000,47777000,49784000
ANET,2026-02-13 19:12:46,3511400000,0001596532,5149600000,3237000000,2025-12-31,72600000,4249700000,4322300000,2.79,2.75,2026-02-17,2025,141900000,5768700000,4249700000,738300000,0,383400000,3511400000,0,3511400000,0,383400000,-393600000,1912600000,3856100000,0,0,FY,USD,1237300000,9005700000,533400000,675300000,393600000,1258000000,1275700000
ANET,2025-02-18 19:50:17,2852100000,0001596532,4058500000,2511800000,2024-12-31,62000000,3265100000,3327100000,2.27,2.23,2025-02-19,2024,122700000,4491300000,3265100000,413000000,0,311000000,2852100000,0,2852100000,0,311000000,-320500000,1546700000,2944600000,0,0,FY,USD,996700000,7003100000,427300000,550000000,320500000,1256303000,1281077000
ANET,2024-02-12 18:01:35,2087321000,0001596532,3602919000,2229887000,2023-12-31,70630000,2422026000,2492656000,1.69,1.65,2024-02-13,2023,119080000,3630281000,2422026000,334705000,0,152421000,2087321000,0,2087321000,0,152421000,-164777000,1373032000,2257249000,0,0,FY,USD,854918000,5860168000,399034000,518114000,164777000,1237417000,1268538000
ANET,2023-02-13 18:10:10,1352446000,0001596532,2854204000,1705614000,2022-12-31,62700000,1581796000,1644496000,1.1,1.07,2023-02-14,2022,93241000,2675696000,1581796000,229350000,0,27556000,1352446000,0,1352446000,0,27556000,-54690000,1148590000,1527106000,0,0,FY,USD,728394000,4381310000,326955000,420196000,54690000,1225891000,1265835000
ANET,2022-02-14 19:10:53,840854000,0001596532,2023298000,1067258000,2021-12-31,50334000,930879000,981213000,0.69,0.66,2022-02-15,2021,83117000,1880779000,930879000,90025000,0,7215000,840854000,0,840854000,0,7215000,-6140000,956040000,924739000,0,0,FY,USD,586752000,2948037000,286171000,369288000,6140000,1226048000,1276952000
ANF,2026-03-26 17:18:21,506921000,0001018840,4567149000,2028884000,2026-01-31,155021000,723147000,878168000,10.71,10.46,2026-03-26,2025,725471000,3237408000,720772000,205777000,2375000,24004000,506921000,0,514995000,0,21629000,-24004000,2538265000,699143000,0,3161000,FY,USD,0,5266292000,1809633000,2535104000,21629000,47319000,48476000
ANF,2025-03-31 17:03:55,566223000,0001018840,4207767000,1773926000,2025-02-01,153773000,780754000,934527000,11.14,10.69,2025-03-31,2024,750485000,3174661000,768677000,194661000,12077000,39934000,566223000,0,574016000,0,27857000,-39934000,2433841000,740820000,0,-6632000,FY,USD,0,4948587000,1689988000,2440473000,27857000,50839000,52971000
ANF,2024-04-01 17:08:32,328123000,0001018840,3796006000,1587265000,2024-01-31,141104000,514651000,655755000,6.53,6.22,2024-04-01,2023,681176000,2693412000,484299000,148886000,30352000,29980000,328123000,0,335413000,0,-372000,-29980000,2208741000,484671000,0,-5873000,FY,USD,0,4280677000,1533438000,2214614000,-372000,50250000,52726000
ANF,2023-03-27 17:22:54,2816000,0001018840,3605103000,1593213000,2023-01-31,132243000,97252000,229495000,0.06,0.05,2023-03-27,2022,552553000,2104538000,67016000,56631000,30236000,4604000,2816000,0,10385000,0,-25632000,-4604000,2011890000,92648000,0,-2674000,FY,USD,0,3697751000,1462011000,2014564000,-25632000,50307000,52327000
